School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,31,10,21,0.323,-17.2,-6.34,4,14,7,6,1,14,1976,2186,1240,748,1558,0.48,183,509,0.36,507,737,0.688,313,1113,375,180,125,452,527,65.9,106.9,0.473,0.327,0.573,55.4,50.1,8.8,11.6,0.539,19.2,33.4,0.325,NA,NA,NA
UAB,36,20,16,0.556,1.94,1.62,12,6,13,4,3,8,2476,2452,1480,883,2083,0.424,217,667,0.325,469,685,0.685,435,1269,439,223,144,476,660,65.9,100.5,0.329,0.32,0.509,49.0,49.7,9.1,10.0,0.476,16.5,32.9,0.225,14.0,R32,SOUTH
Alabama,34,19,15,0.559,10.52,8.09,8,10,14,5,4,8,2280,2180,1371,735,1790,0.411,215,663,0.324,495,701,0.706,377,1137,399,175,82,416,664,63.1,100.8,0.392,0.37,0.513,50.3,54.3,8.1,8.0,0.471,16.4,32.1,0.277,NA,NA,NA
Albany (NY),33,24,9,0.727,-0.34,-5.18,15,1,12,3,12,5,2156,1996,1325,697,1657,0.421,250,690,0.362,352,502,0.701,274,964,380,158,116,408,618,61.2,98.5,0.303,0.416,0.527,46.5,54.5,7.8,10.6,0.496,17.7,26.1,0.212,14.0,R64,EAST
American,33,17,16,0.515,-3.56,-3.71,8,10,8,3,7,13,1938,1933,1339,706,1552,0.455,173,505,0.343,348,513,0.678,294,983,361,167,91,416,562,57.1,101.2,0.331,0.325,0.538,54.3,51.1,8.7,10.0,0.511,18.8,31.5,0.224,NA,NA,NA
Appalachian State,29,12,17,0.414,-9.81,-3.18,9,11,7,5,5,12,1841,2033,1160,735,1604,0.458,152,472,0.322,411,602,0.683,290,1014,364,180,93,332,556,66.5,105.4,0.375,0.294,0.538,50.1,49.5,9.3,9.2,0.506,14.9,29.9,0.256,NA,NA,NA
Arizona State,34,18,16,0.529,9.52,6.66,9,9,15,3,3,10,2360,2263,1385,821,1821,0.451,188,519,0.362,433,621,0.697,274,1055,422,208,144,437,701,66.0,99.0,0.341,0.285,0.535,47.1,51.4,9.1,12.4,0.502,17.1,25.1,0.238,NA,NA,NA
Arizona,38,34,4,0.895,24.33,7.41,16,2,17,0,8,3,2911,2268,1525,777,1951,0.398,206,615,0.335,508,728,0.698,285,1065,370,180,97,523,791,66.5,89.4,0.373,0.315,0.494,43.2,47.6,7.1,6.3,0.451,18.5,22.4,0.26,2.0,E8,WEST
Little Rock,31,13,18,0.419,-5.38,-3.81,8,12,9,7,3,9,2146,2180,1275,749,1688,0.444,223,602,0.37,459,678,0.677,331,1143,390,145,86,419,578,65.5,104.5,0.402,0.357,0.542,51.8,52.1,6.9,7.5,0.51,17.2,31.1,0.272,NA,NA,NA
Arkansas,36,27,9,0.75,14.07,6.79,13,5,17,2,7,5,2787,2525,1450,869,2031,0.428,223,634,0.352,564,789,0.715,433,1281,448,206,104,567,696,70.1,99.3,0.388,0.312,0.525,49.8,51.6,8.1,6.9,0.483,19.1,34.6,0.278,5.0,R32,WEST
Auburn,35,15,20,0.429,3.27,8.15,4,14,9,8,2,10,2378,2523,1415,887,1892,0.469,205,617,0.332,544,779,0.698,382,1297,451,235,153,513,760,67.9,105.1,0.412,0.326,0.558,54.0,50.8,9.8,13.3,0.523,18.5,33.8,0.288,NA,NA,NA
Austin Peay,30,8,22,0.267,-12.45,-2.81,3,13,6,7,1,14,1937,2178,1200,758,1609,0.471,227,588,0.386,435,599,0.726,271,1029,417,240,94,424,591,68.2,106.4,0.372,0.365,0.575,49.7,55.0,11.7,8.1,0.542,18.3,28.8,0.27,NA,NA,NA
Baylor,34,24,10,0.706,17.85,9.33,11,7,16,2,6,5,2349,2048,1370,738,1836,0.402,196,653,0.3,376,583,0.645,376,1052,512,224,136,410,613,62.8,95.2,0.318,0.356,0.485,44.1,69.4,10.4,10.9,0.455,16.3,31.0,0.205,3.0,R64,WEST
Belmont,33,22,11,0.667,0.35,-2.77,11,5,12,2,7,8,2450,2330,1320,854,1889,0.452,238,692,0.344,384,539,0.712,330,1080,433,217,117,418,624,67.5,104.5,0.285,0.366,0.543,49.7,50.7,9.7,12.5,0.515,16.3,29.6,0.203,15.0,R64,EAST
Boise State,34,25,9,0.735,10.01,1.38,14,4,13,1,8,5,2390,2045,1385,730,1754,0.416,195,632,0.309,390,558,0.699,279,1030,359,162,105,430,568,62.4,94.6,0.318,0.36,0.506,47.9,49.2,7.5,9.9,0.472,17.6,25.4,0.222,11.0,R68,EAST
Bradley,33,9,24,0.273,-4.3,1.52,3,15,7,9,1,10,1882,2026,1340,667,1559,0.428,211,589,0.358,481,701,0.686,295,1077,399,202,116,454,562,61.1,98.9,0.45,0.378,0.535,49.5,59.8,9.9,10.5,0.496,19.4,29.0,0.309,NA,NA,NA
Brigham Young,35,25,10,0.714,13.53,5.02,13,5,13,3,8,3,2931,2561,1420,894,2052,0.436,218,666,0.327,555,793,0.7,370,1185,493,231,125,456,739,70.7,102.0,0.386,0.325,0.527,46.8,55.1,9.2,9.4,0.489,15.8,28.5,0.27,11.0,R68,WEST
Bucknell,34,19,15,0.559,-3.66,-2.75,13,5,12,4,6,11,2339,2346,1380,814,1841,0.442,203,548,0.37,515,696,0.74,279,1075,385,173,148,320,652,64.1,106.1,0.378,0.298,0.54,48.4,47.3,7.8,12.1,0.497,12.8,25.7,0.28,NA,NA,NA
Buffalo,33,23,10,0.697,7.93,1.6,12,6,11,2,9,7,2462,2253,1320,795,1881,0.423,235,713,0.33,428,645,0.664,367,1163,392,204,109,448,698,68.7,99.3,0.343,0.379,0.515,48.0,49.3,9.0,8.1,0.485,17.0,30.4,0.228,12.0,R64,MIDWEST
