School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Abilene Christian,31,20,11,0.645,-2.87,-6.87,15,5,13,3,7,8,2352,2024,1260,668,1545,0.432,154,517,0.298,534,728,0.734,271,1036,297,211,114,616,616,71.1,90.4,0.471,0.335,0.535,49.9,44.5,9.4,10.0,0.482,24.6,27.8,0.346,NA,NA
UAB,32,19,13,0.594,-0.94,-1.64,9,9,11,6,5,7,2154,2088,1280,748,1804,0.415,247,738,0.335,345,481,0.717,275,981,353,217,102,392,555,67.2,97.2,0.267,0.409,0.514,45.3,47.2,10.1,8.5,0.483,16.2,24.3,0.191,NA,NA
Alabama,31,16,15,0.516,11.12,8.12,8,10,10,5,4,8,2542,2449,1260,850,2002,0.425,217,695,0.312,532,718,0.741,382,1233,369,263,124,435,629,76.1,102.2,0.359,0.347,0.523,50.3,43.4,11.0,12.4,0.479,15.7,30.8,0.266,NA,NA
Albany (NY),32,14,18,0.438,-8.78,-5.91,7,9,7,7,5,11,2127,2190,1285,788,1876,0.42,251,732,0.343,363,523,0.694,287,1104,430,246,109,409,574,69.7,97.9,0.279,0.39,0.515,50.2,54.6,11.0,11.0,0.487,16.1,25.5,0.193,NA,NA
American,30,16,14,0.533,-4.37,-6.5,12,6,10,4,6,10,2149,2085,1205,745,1668,0.447,168,526,0.319,427,612,0.698,296,1038,356,179,96,411,472,69.0,100.3,0.367,0.315,0.532,51.5,47.8,8.6,8.4,0.497,17.3,29.4,0.256,NA,NA
Appalachian State,33,18,15,0.545,-0.81,-0.01,11,9,10,5,7,9,2256,2222,1325,813,1886,0.431,241,746,0.323,355,494,0.719,322,1166,447,225,86,476,645,68.6,97.8,0.262,0.396,0.524,50.3,55.0,9.9,7.8,0.495,18.3,28.0,0.188,NA,NA
Arizona State,31,20,11,0.645,11.46,8.1,11,7,13,3,6,5,2288,2184,1240,769,1796,0.428,227,686,0.331,419,615,0.681,318,1182,388,203,119,508,569,73.7,95.5,0.342,0.382,0.523,51.5,50.5,8.9,9.9,0.491,19.6,28.4,0.233,NA,NA
Arizona,32,21,11,0.656,19.49,8.4,10,8,13,4,4,6,2445,2090,1290,708,1797,0.394,211,677,0.312,463,632,0.733,296,1083,363,155,99,465,614,70.3,92.2,0.352,0.377,0.498,47.5,51.3,6.8,8.0,0.453,18.1,25.9,0.258,NA,NA
Little Rock,31,21,10,0.677,2.27,-1.07,15,5,13,2,8,8,2270,2152,1240,750,1769,0.424,238,687,0.346,414,595,0.696,310,1002,377,210,99,430,650,70.2,98.9,0.336,0.388,0.524,47.8,50.3,9.7,8.9,0.491,17.3,28.2,0.234,NA,NA
Arkansas,32,20,12,0.625,13.46,7.27,7,11,14,4,4,8,2426,2228,1300,773,1808,0.428,164,602,0.272,518,739,0.701,351,1226,324,160,95,512,687,71.4,96.0,0.409,0.333,0.516,54.8,41.9,6.9,8.7,0.473,19.2,31.3,0.287,NA,NA
Auburn,31,25,6,0.806,15.04,7.39,12,6,16,1,5,5,2419,2182,1270,759,1840,0.413,217,667,0.325,447,623,0.717,319,1090,346,207,97,418,656,70.4,97.6,0.339,0.363,0.511,46.3,45.6,9.3,9.3,0.471,16.4,27.4,0.243,NA,NA
Austin Peay,33,21,12,0.636,-0.98,-4.14,14,4,14,0,5,10,2519,2359,1325,861,1841,0.468,226,626,0.361,411,594,0.692,303,1093,448,201,80,493,643,69.9,101.9,0.323,0.34,0.556,47.9,52.0,8.7,6.2,0.529,18.8,27.5,0.223,NA,NA
Baylor,30,26,4,0.867,20.13,9.13,15,3,14,1,8,2,2134,1804,1205,643,1618,0.397,176,566,0.311,342,498,0.687,306,1002,339,174,146,456,549,66.6,89.9,0.308,0.35,0.486,47.5,52.7,8.7,13.0,0.452,19.7,29.9,0.211,NA,NA
Belmont,33,26,7,0.788,4.3,-6.23,15,3,13,1,11,5,2627,2241,1320,846,2033,0.416,232,704,0.33,317,495,0.64,336,1210,398,191,97,473,478,72.8,93.3,0.243,0.346,0.494,49.5,47.0,8.0,8.3,0.473,17.3,26.3,0.156,NA,NA
Boise State,32,20,12,0.625,8.59,4.39,11,7,13,2,4,8,2430,2223,1305,814,1819,0.447,212,710,0.299,383,534,0.717,235,1050,365,192,74,442,641,70.0,97.4,0.294,0.39,0.536,48.5,44.8,8.4,6.9,0.506,17.6,22.1,0.211,NA,NA
Bradley,34,23,11,0.676,5.33,0.33,11,7,15,2,4,8,2438,2240,1370,765,1939,0.395,265,839,0.316,445,592,0.752,318,1138,400,196,99,412,591,67.3,97.1,0.305,0.433,0.504,46.5,52.3,8.5,7.3,0.463,15.7,25.4,0.229,NA,NA
Brigham Young,32,24,8,0.75,16.93,6.45,13,3,14,1,6,5,2548,2188,1295,819,1869,0.438,193,626,0.308,357,515,0.693,266,1076,380,200,77,412,505,69.7,96.9,0.276,0.335,0.518,50.4,46.4,8.9,6.9,0.49,16.3,23.8,0.191,NA,NA
Bucknell,34,14,20,0.412,-7.73,-4.32,8,10,9,4,4,14,2299,2415,1360,860,1865,0.461,201,620,0.324,494,714,0.692,293,1197,425,234,107,471,546,69.9,101.6,0.383,0.332,0.548,52.1,49.4,9.8,9.5,0.515,17.6,26.4,0.265,NA,NA
Buffalo,32,20,12,0.625,1.8,0.06,11,7,10,7,7,4,2516,2425,1290,880,2023,0.435,219,693,0.316,446,608,0.734,356,1217,413,214,121,463,571,74.7,100.7,0.301,0.343,0.524,47.5,46.9,8.9,9.1,0.489,16.7,28.8,0.22,NA,NA
