,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
0,1,Abilene Christian,31,13,18,.419,-13.93,-7.53,8,10,10,5,2,12,2209,2272,1250,792,1662,.477,168,486,.346,520,735,.707,266,1031,376,160,98,448,596,69.7,104.3,.442,.292,.565,51.0,47.5,7.3,8.6,.527,18.2,26.9,.313
1,2,Air Force,32,14,18,.438,-5.51,0.66,5,13,12,5,2,13,2189,2330,1300,784,1823,.430,290,843,.344,472,667,.708,326,1187,470,211,133,436,664,68.9,104.0,.366,.462,.544,51.7,59.9,9.4,11.4,.510,16.9,28.4,.259
2,3,Akron,35,26,9,.743,5.55,-1.24,13,5,15,0,6,8,2682,2381,1405,862,2103,.410,205,698,.294,452,667,.678,401,1315,393,206,80,408,630,69.2,98.0,.317,.332,.492,50.1,45.6,8.5,7.7,.459,14.4,30.0,.215
3,4,Alabama A&M,29,11,18,.379,-13.47,-10.75,6,12,6,5,4,12,1974,2042,1175,726,1599,.454,168,520,.323,422,637,.662,307,1025,351,171,84,316,590,65.7,105.9,.398,.325,.537,50.6,48.3,8.9,8.1,.507,14.2,31.4,.264
4,5,UAB,33,26,7,.788,3.50,-3.07,16,2,16,0,10,4,2606,2323,1340,841,2017,.417,233,712,.327,408,589,.693,390,1144,430,205,103,417,590,69.4,99.9,.292,.353,.506,47.6,51.1,8.8,7.9,.475,15.4,30.4,.202
5,6,Alabama State,31,14,17,.452,-13.11,-9.35,9,9,8,3,5,12,2217,2308,1260,808,1744,.463,193,569,.339,499,768,.650,324,1170,404,187,106,400,548,69.5,105.4,.440,.326,.547,50.4,50.0,8.5,8.3,.519,15.9,29.8,.286
6,7,Alabama,33,18,15,.545,7.14,8.62,8,10,10,4,5,8,2193,2242,1330,769,1878,.409,211,642,.329,493,735,.671,431,1259,370,189,96,402,647,66.1,102.0,.391,.342,.503,52.5,48.1,8.6,9.7,.466,15.3,34.6,.263
7,8,Albany (NY),33,24,9,.727,0.93,-7.57,13,3,14,1,10,8,2495,2180,1335,801,1899,.422,229,750,.305,349,516,.676,310,1027,404,177,131,428,695,67.8,96.4,.272,.395,.508,44.6,50.4,7.8,10.4,.482,16.6,25.9,.184
8,9,Alcorn State,30,15,15,.500,-16.01,-9.94,13,5,9,2,6,9,2014,2164,1225,748,1673,.447,215,592,.363,453,646,.701,324,1038,384,205,95,357,583,66.5,106.3,.386,.354,.547,49.2,51.3,10.1,8.4,.511,15.3,32.0,.271
9,10,American,31,12,19,.387,-14.18,-6.08,9,9,5,7,7,12,1785,2036,1250,735,1568,.469,147,473,.311,419,628,.667,284,992,362,225,75,370,530,62.0,105.1,.401,.302,.545,53.2,49.3,11.6,8.2,.516,16.5,30.2,.267
10,11,Appalachian State,31,9,22,.290,-7.91,-1.10,7,13,6,7,2,12,2187,2398,1240,856,1852,.462,183,474,.386,503,738,.682,357,1157,373,197,116,349,673,70.8,109.2,.398,.256,.544,50.3,43.6,9.0,10.8,.512,13.7,32.3,.272
11,12,Arizona State,32,15,17,.469,8.28,8.96,5,13,11,6,3,9,2345,2367,1290,830,1812,.458,224,633,.354,483,690,.700,302,1159,483,186,150,411,670,69.8,105.2,.381,.349,.553,49.6,58.2,8.3,12.9,.520,16.1,27.8,.267
12,13,Arizona NCAA,34,25,9,.735,18.79,7.23,12,6,17,1,5,5,2735,2342,1390,853,2067,.413,204,646,.316,432,606,.713,320,1055,412,187,117,388,743,69.8,96.6,.293,.313,.497,43.5,48.3,7.7,8.4,.462,14.1,24.7,.209
13,14,Little Rock NCAA,35,30,5,.857,7.12,-1.76,17,3,14,0,12,4,2487,2129,1415,720,1825,.395,226,721,.313,463,677,.684,353,1190,377,140,96,486,609,64.5,93.3,.371,.395,.496,49.9,52.4,6.1,7.6,.456,18.5,28.8,.254
14,15,Arkansas-Pine Bluff,33,8,25,.242,-19.31,-5.52,6,12,3,6,4,17,1867,2322,1325,747,1701,.439,180,557,.323,648,913,.710,408,1248,441,271,99,438,524,65.3,107.3,.537,.327,.544,55.4,59.0,12.5,9.4,.492,17.0,37.4,.381
15,16,Arkansas State,31,11,20,.355,-7.48,-2.37,7,13,9,6,2,14,2282,2353,1260,791,1983,.399,259,737,.351,512,757,.676,401,1257,399,195,94,355,675,72.7,102.8,.382,.372,.502,50.3,50.4,8.5,7.3,.464,13.2,30.6,.258
16,17,Arkansas,32,16,16,.500,10.23,6.76,9,9,13,4,3,8,2501,2390,1305,803,1844,.435,231,644,.359,553,790,.700,349,1187,447,165,140,454,658,71.3,102.7,.428,.349,.538,50.0,55.7,7.1,9.7,.498,17.0,30.0,.300
17,18,Army,33,19,14,.576,-7.32,-8.13,9,9,7,8,11,6,2539,2474,1350,918,2064,.445,199,575,.346,439,656,.669,342,1230,417,235,111,402,646,72.2,101.6,.318,.279,.521,47.9,45.4,9.6,9.2,.493,14.5,26.9,.213
18,19,Auburn,31,11,20,.355,0.15,7.54,5,13,8,7,2,11,2192,2421,1245,832,1877,.443,232,667,.348,525,752,.698,376,1270,439,187,122,400,656,72.5,107.3,.401,.355,.542,52.8,52.8,8.3,11.9,.505,15.2,32.3,.280
19,20,Austin Peay NCAA,36,18,18,.500,-6.04,-2.98,7,9,7,7,7,9,2740,2765,1460,995,2159,.461,302,840,.360,471,667,.706,378,1236,524,252,108,478,765,70.5,107.4,.309,.389,.558,48.2,52.7,9.8,7.7,.531,16.2,29.5,.218
20,21,Ball State,35,21,14,.600,0.11,-2.98,10,8,13,6,6,8,2479,2338,1430,790,1951,.405,242,697,.347,516,732,.705,335,1189,399,230,75,397,638,66.2,98.8,.375,.357,.509,48.3,50.5,9.7,6.8,.467,14.7,26.2,.264
21,22,Baylor NCAA,34,22,12,.647,16.13,9.76,10,8,15,5,6,5,2621,2366,1375,823,1843,.447,233,638,.365,485,693,.700,314,1011,598,223,134,463,666,67.6,101.9,.376,.346,.545,44.4,72.7,9.6,9.4,.510,17.6,28.2,.263
22,23,Belmont,32,20,12,.625,1.19,-2.10,12,4,11,1,8,10,2638,2510,1285,873,1977,.442,242,689,.351,522,725,.720,370,1137,420,229,100,390,665,72.8,107.3,.367,.349,.541,50.7,48.1,9.8,10.9,.503,14.4,30.7,.264
23,24,Bethune-Cookman,32,14,18,.438,-14.35,-9.18,10,6,9,2,5,13,2258,2330,1295,830,1923,.432,228,672,.339,442,647,.683,428,1258,478,173,86,389,582,68.2,105.6,.336,.349,.522,51.5,57.6,7.8,7.5,.491,14.9,35.5,.230
24,25,Binghamton,30,8,22,.267,-14.08,-6.35,5,11,5,9,3,13,1827,2059,1205,728,1675,.435,204,606,.337,399,576,.693,298,1108,397,211,84,372,553,67.4,101.4,.344,.362,.528,52.0,54.5,10.4,8.3,.496,16.0,28.4,.238
25,26,Boise State,32,20,12,.625,7.23,3.13,11,7,14,2,5,7,2480,2246,1290,785,1765,.445,234,669,.350,442,631,.700,264,1054,388,169,105,472,675,70.5,98.8,.358,.379,.544,48.7,49.4,7.4,9.8,.511,18.6,24.9,.250
26,27,Boston College,32,7,25,.219,-1.61,7.67,0,18,6,11,0,10,1959,2256,1285,796,1732,.460,224,587,.382,440,641,.686,302,1175,467,234,110,415,504,67.0,104.8,.370,.339,.554,54.2,58.7,10.9,10.6,.524,16.9,28.7,.254
27,28,Boston University,34,19,15,.559,-6.79,-6.37,11,7,9,6,10,9,2483,2464,1375,875,2009,.436,247,744,.332,467,681,.686,346,1184,486,217,90,406,628,69.4,103.3,.339,.370,.528,49.3,55.5,9.1,7.9,.497,14.8,27.7,.232
28,29,Bowling Green State,34,16,18,.471,-5.88,-1.85,5,13,7,8,7,8,2400,2457,1360,853,1978,.431,278,745,.373,473,685,.691,350,1208,379,207,103,403,684,69.4,104.2,.346,.377,.533,49.4,44.4,8.8,7.6,.502,14.9,28.2,.239
29,30,Bradley,32,5,27,.156,-10.91,3.70,3,15,4,11,1,12,1793,2238,1290,737,1675,.440,188,544,.346,576,866,.665,288,1121,397,247,99,374,647,67.3,103.2,.517,.325,.536,50.9,53.9,11.4,9.8,.496,15.2,26.3,.344
30,31,Brigham Young,37,26,11,.703,12.36,2.36,13,5,17,2,6,6,3093,2692,1485,943,2269,.416,287,863,.333,519,725,.716,359,1340,509,205,136,487,728,74.0,98.0,.320,.380,.515,47.0,54.0,7.5,9.0,.479,15.7,25.1,.229
31,32,Brown,28,8,20,.286,-8.05,-2.82,3,11,7,6,1,13,2040,2155,1140,757,1726,.439,218,613,.356,423,617,.686,338,1092,401,217,97,324,551,70.5,107.2,.357,.355,.534,51.7,53.0,10.8,9.8,.502,13.8,31.2,.245
