,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
0,1,Abilene Christian NCAA,34,27,7,.794,-1.91,-7.34,14,4,13,2,10,4,2502,2161,1370,897,1911,.469,251,660,.380,457,642,.712,325,1110,525,297,93,407,635,67.2,108.6,.336,.345,.565,50.3,58.5,12.9,8.0,.535,15.5,28.8,.239
1,2,Air Force,32,14,18,.438,-4.28,0.24,8,10,9,6,3,9,2179,2294,1300,802,1776,.452,234,711,.329,341,503,.678,253,1077,434,154,57,423,543,67.4,99.5,.283,.400,.541,50.1,54.1,7.0,5.8,.517,17.4,23.7,.192
2,3,Akron,33,17,16,.515,4.86,1.09,8,10,14,3,1,10,2271,2107,1325,797,1948,.409,297,929,.320,380,539,.705,312,1204,399,185,106,388,569,68.5,100.1,.277,.477,.515,48.2,50.1,8.2,8.9,.485,15.0,25.3,.195
3,4,Alabama A&M,32,5,27,.156,-19.23,-8.38,4,14,4,7,0,18,1938,2285,1295,736,1809,.407,182,578,.315,284,453,.627,314,1032,385,234,50,487,587,67.5,88.7,.250,.320,.479,47.1,52.3,10.7,4.7,.457,19.4,27.6,.157
4,5,UAB,35,20,15,.571,0.36,-1.52,10,8,11,5,6,6,2470,2370,1410,906,2003,.452,234,694,.337,424,630,.673,367,1279,401,218,82,399,578,66.6,105.2,.315,.346,.536,52.7,44.3,9.3,7.5,.511,14.8,30.4,.212
5,6,Alabama State,31,12,19,.387,-15.60,-7.84,9,9,8,3,3,13,2086,2235,1250,712,1764,.404,216,673,.321,446,684,.652,365,1094,313,203,102,451,565,69.6,95.9,.388,.382,.499,49.0,44.0,9.3,9.3,.465,17.8,30.9,.253
6,7,Alabama,34,18,16,.529,9.45,9.01,8,10,10,6,4,8,2448,2433,1365,856,1945,.440,244,718,.340,492,739,.666,384,1285,418,157,160,465,572,69.8,102.8,.380,.369,.533,52.0,48.8,6.6,11.6,.503,16.8,31.5,.253
7,8,Albany (NY),32,12,20,.375,-9.38,-6.70,7,9,6,8,6,10,2150,2216,1300,728,1750,.416,274,790,.347,420,564,.745,294,1081,402,195,78,454,566,66.7,99.2,.322,.451,.533,49.7,55.2,9.0,7.1,.494,18.4,27.1,.240
8,9,Alcorn State,31,10,21,.323,-22.08,-8.97,6,12,10,3,0,17,1995,2194,1245,709,1721,.412,211,646,.327,366,543,.674,334,1079,391,229,107,492,548,68.8,93.2,.316,.375,.504,49.9,55.1,10.7,9.8,.473,19.9,30.1,.213
9,10,American,30,15,15,.500,-4.19,-7.23,9,9,8,7,6,8,2161,2070,1220,780,1645,.474,190,584,.325,411,589,.698,251,1014,402,221,131,386,520,67.7,104.6,.358,.355,.561,50.4,51.5,10.7,11.0,.532,16.7,26.1,.250
10,11,Appalachian State,32,11,21,.344,-3.73,0.10,6,12,9,5,2,12,2557,2539,1290,880,1938,.454,292,814,.359,505,706,.715,310,1127,406,171,90,418,585,73.7,107.6,.364,.420,.562,48.6,46.1,7.2,6.9,.529,15.5,26.5,.261
11,12,Arizona State NCAA,34,23,11,.676,10.28,6.04,12,6,13,3,6,5,2638,2494,1380,899,2012,.447,240,714,.336,600,882,.680,399,1351,459,213,109,466,675,72.5,105.4,.438,.355,.543,52.6,51.1,8.5,9.6,.506,16.1,31.3,.298
12,13,Arizona,32,17,15,.531,8.32,6.32,8,10,12,5,4,7,2269,2205,1290,794,1861,.427,235,699,.336,446,620,.719,324,1115,398,165,73,370,594,68.6,102.6,.333,.376,.526,50.5,50.1,7.5,6.6,.490,14.7,28.4,.240
13,14,Little Rock,31,10,21,.323,-4.87,-2.07,5,13,7,9,3,12,2301,2353,1250,817,1687,.484,206,582,.354,461,703,.656,244,1060,443,169,87,503,622,72.7,101.2,.417,.345,.569,49.8,54.2,7.4,8.6,.545,19.9,24.1,.273
14,15,Arkansas-Pine Bluff,32,13,19,.406,-14.43,-8.18,10,8,8,2,4,17,2108,2269,1300,719,1685,.427,194,574,.338,476,702,.678,317,1063,365,216,109,478,629,67.3,96.3,.417,.341,.522,49.4,50.8,9.9,9.5,.484,19.1,29.1,.282
15,16,Arkansas State,32,13,19,.406,-7.10,-1.23,7,11,10,4,2,13,2359,2475,1310,796,1904,.418,237,709,.334,530,721,.735,403,1211,363,183,139,448,684,70.2,102.6,.379,.372,.525,51.5,45.6,8.0,11.8,.480,16.6,33.2,.278
16,17,Arkansas,34,18,16,.529,11.75,8.78,8,10,12,6,5,8,2559,2458,1370,893,2004,.446,259,751,.345,514,769,.668,345,1152,543,276,172,450,693,71.7,104.2,.384,.375,.540,47.0,60.8,11.2,15.4,.510,16.0,28.3,.256
17,18,Army,32,13,19,.406,-7.57,-4.73,8,10,10,4,3,13,2268,2305,1280,837,1956,.428,272,863,.315,322,471,.684,259,1125,499,198,50,376,544,71.7,98.9,.241,.441,.520,48.9,59.6,8.6,4.6,.497,14.7,21.8,.165
18,19,Auburn NCAA,40,30,10,.750,20.84,10.92,11,7,15,2,4,6,3188,2750,1615,1097,2439,.450,454,1204,.377,540,760,.711,457,1369,572,369,190,466,731,69.2,114.1,.312,.494,.569,49.2,52.1,13.2,15.6,.543,14.3,31.6,.221
19,20,Austin Peay,33,22,11,.667,0.59,-4.41,13,5,10,2,8,7,2712,2413,1335,973,2060,.472,268,702,.382,498,705,.706,397,1215,454,252,110,392,596,71.8,113.1,.342,.341,.566,51.7,46.7,10.5,9.2,.537,14.1,33.1,.242
20,21,Ball State,33,16,17,.485,3.39,1.21,6,12,7,7,8,7,2478,2362,1340,889,1892,.470,202,621,.325,498,709,.702,308,1243,426,217,118,480,579,71.7,103.1,.375,.328,.556,51.5,47.9,9.0,8.8,.523,17.7,27.7,.263
21,22,Baylor NCAA,34,20,14,.588,13.38,9.26,10,8,13,5,5,6,2442,2302,1365,869,1966,.442,274,803,.341,430,635,.677,450,1281,473,209,159,446,636,66.5,107.6,.323,.408,.538,54.1,54.4,9.2,13.8,.512,16.4,37.6,.219
22,23,Belmont NCAA,33,27,6,.818,9.12,-2.60,16,2,13,1,12,3,2868,2439,1330,1042,2094,.498,343,922,.372,441,598,.737,286,1275,645,220,125,376,509,74.2,116.2,.286,.440,.603,52.2,61.9,8.9,9.1,.580,13.7,25.1,.211
