,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
0,1,Abilene Christian NCAA,29,24,5,.828,6.27,-6.37,13,2,13,0,5,4,2196,1753,1160,601,1488,.404,161,520,.310,390,573,.681,263,985,299,189,110,578,580,72.0,84.0,.385,.349,.498,48.5,49.8,9.1,9.9,.458,24.7,26.8,.262
1,2,Air Force,25,5,20,.200,-12.98,0.22,3,17,3,8,1,10,1468,1798,1000,654,1309,.500,194,530,.366,296,430,.688,258,865,368,150,53,348,418,63.9,112.5,.328,.405,.594,59.9,56.3,9.4,8.2,.574,18.7,35.4,.226
2,3,Akron,23,15,8,.652,1.85,-1.96,12,6,9,1,5,5,1798,1660,930,621,1435,.433,151,486,.311,267,375,.712,253,837,279,129,51,274,422,70.1,101.8,.261,.339,.515,48.3,44.9,7.9,6.7,.485,14.5,28.6,.186
3,4,Alabama A&M,15,6,9,.400,-18.86,-14.99,4,9,5,2,1,7,950,1008,610,350,891,.393,84,297,.283,224,333,.673,172,582,188,121,40,192,251,70.1,94.3,.374,.333,.480,50.2,53.7,11.3,6.9,.440,15.5,29.2,.251
4,5,UAB,29,22,7,.759,5.80,-3.83,13,5,15,2,6,4,2105,1748,1160,633,1566,.404,181,569,.318,301,434,.694,252,994,310,122,105,478,477,68.9,87.4,.277,.363,.493,48.3,49.0,6.1,8.3,.462,21.2,25.1,.192
5,6,Alabama State,18,4,14,.222,-24.28,-16.95,4,14,3,6,1,8,1156,1288,720,456,1042,.438,108,332,.325,268,385,.696,188,677,227,139,75,268,388,72.4,98.9,.369,.319,.526,50.9,49.8,10.7,11.4,.489,18.0,29.6,.257
6,7,Alabama NCAA,33,26,7,.788,19.58,10.01,16,2,12,1,7,3,2629,2313,1325,837,2053,.408,205,704,.291,434,630,.689,378,1254,368,261,161,506,599,74.7,93.5,.307,.343,.492,48.3,44.0,10.6,14.2,.458,17.7,28.8,.211
7,8,Albany (NY),16,7,9,.438,-4.53,-5.22,6,6,4,5,2,4,1110,1099,640,402,894,.450,114,330,.345,181,262,.691,139,522,196,90,64,233,295,69.7,98.6,.293,.369,.540,52.1,48.8,8.1,11.0,.513,18.6,27.3,.202
8,9,Alcorn State,19,6,13,.316,-19.58,-10.06,6,7,4,3,2,9,1256,1437,760,483,992,.487,134,387,.346,337,497,.678,175,663,280,128,79,299,338,71.3,106.1,.501,.390,.585,52.2,58.0,9.5,10.8,.554,19.6,30.3,.340
9,10,American,10,4,6,.400,-6.32,-1.82,4,5,2,2,2,4,691,736,420,268,584,.459,50,172,.291,150,224,.670,106,351,117,85,25,125,156,67.5,103.8,.384,.295,.533,51.8,43.7,12.0,7.8,.502,15.3,29.9,.257
