School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,36,25,11,.694,2.25,-2.09,11,7,14,3,6,6,2761,2432,1460,782,1781,.439,242,721,.336,626,863,.725,327,1241,403,199,130,755,764,71.9,92.7,.485,.405,.555,51.8,51.5,7.6,9.4,.507,25.6,29.6,.351
Air Force,29,11,18,.379,-5.67,1.33,4,13,7,6,2,10,1712,1915,1160,669,1445,.463,150,481,.312,427,562,.760,249,956,317,156,97,373,487,63.4,104.1,.389,.333,.559,55.4,47.4,8.5,11.9,.515,17.9,29.4,.296
Akron,34,24,10,.706,0.91,-3.93,14,6,12,3,8,4,2402,2130,1365,783,1857,.422,225,658,.342,339,480,.706,295,1053,321,187,77,400,643,64.1,97.3,.258,.354,.511,47.0,41.0,8.5,7.3,.482,16.1,25.7,.183
Alabama A&M,30,12,18,.400,-14.43,-8.86,10,8,7,3,4,14,1843,2010,1220,718,1791,.401,223,696,.320,351,513,.684,358,1188,405,226,86,408,507,68.3,96.5,.286,.389,.494,51.2,56.4,10.8,6.6,.463,16.7,30.9,.196
UAB,35,27,8,.771,10.90,-0.14,14,4,16,2,7,4,2811,2336,1415,833,1999,.417,242,745,.325,428,606,.706,348,1181,390,191,126,553,546,70.4,93.8,.303,.373,.511,46.9,46.8,7.7,8.5,.477,19.5,27.6,.214
Alabama State,31,10,21,.323,-12.05,-5.45,8,10,7,6,3,15,2160,2332,1250,822,1863,.441,231,703,.329,457,632,.723,364,1136,441,239,120,437,554,71.4,104.4,.339,.377,.539,51.7,53.6,10.7,10.2,.503,16.8,33.1,.245
Alabama,33,19,14,.576,14.62,11.59,9,9,13,3,3,7,2623,2523,1325,887,2028,.437,245,725,.338,504,705,.715,379,1190,411,258,123,435,602,73.2,104.0,.348,.357,.534,47.7,46.3,10.6,11.3,.498,15.5,30.5,.249
Albany (NY),31,13,18,.419,-9.80,-5.77,9,9,4,8,8,9,1917,2042,1245,720,1641,.439,225,633,.355,377,522,.722,265,1059,388,163,135,423,462,65.8,99.7,.318,.386,.541,51.6,53.9,8.0,11.5,.507,18.3,27.2,.230
Alcorn State,34,17,17,.500,-8.68,-4.12,14,4,6,3,9,13,2262,2417,1370,844,1892,.446,232,675,.344,497,694,.716,316,1168,471,234,138,450,582,69.0,102.3,.367,.357,.544,48.9,55.8,9.9,9.8,.507,16.8,27.8,.263
American,32,10,22,.313,-15.38,-7.91,5,13,6,5,4,16,2031,2270,1290,849,1794,.473,213,614,.347,359,519,.692,250,1059,433,216,103,367,455,66.8,105.3,.289,.342,.556,51.9,51.0,10.0,8.2,.533,15.2,24.8,.200
Appalachian State,34,19,15,.559,-1.45,-1.45,12,6,11,5,6,7,2281,2146,1365,806,1924,.419,227,734,.309,307,407,.754,288,1179,448,177,105,407,518,65.5,96.0,.212,.381,.507,49.6,55.6,7.9,9.4,.478,16.1,25.0,.160
Arizona State,31,14,17,.452,7.64,9.48,10,10,9,6,5,7,2027,2084,1260,718,1797,.400,229,737,.311,419,581,.721,352,1234,412,190,97,419,471,67.9,97.4,.323,.410,.503,52.8,57.4,8.9,8.2,.463,16.8,30.3,.233
Arizona,37,33,4,.892,22.75,6.84,18,2,17,0,9,3,3107,2518,1490,928,2400,.387,273,833,.328,389,577,.674,441,1251,438,257,107,472,696,72.7,92.9,.240,.347,.471,45.0,47.2,9.5,7.4,.444,15.0,28.6,.162
Little Rock,28,9,19,.321,-12.05,-0.73,3,11,6,7,1,10,1868,2047,1140,743,1579,.471,231,622,.371,330,471,.701,266,982,425,174,73,404,478,68.0,105.6,.298,.394,.568,52.7,57.2,9.0,7.6,.544,18.3,29.1,.209
Arkansas-Pine Bluff,31,7,24,.226,-18.96,-4.58,5,13,5,7,2,17,2055,2426,1245,894,1807,.495,201,558,.360,437,600,.728,342,1174,482,233,107,412,526,69.3,112.5,.332,.309,.580,56.2,53.9,10.8,10.4,.550,16.5,34.8,.242
Arkansas State,29,18,11,.621,-3.27,-3.50,8,7,11,3,6,7,2055,1974,1165,722,1685,.428,184,559,.329,346,493,.702,291,983,342,206,93,399,500,69.5,97.5,.293,.332,.514,48.5,47.4,10.2,8.1,.483,17.2,28.0,.205
Arkansas,37,28,9,.757,16.27,8.62,13,5,17,1,5,4,2810,2527,1490,880,2135,.412,269,829,.324,498,681,.731,336,1291,464,244,128,549,721,72.0,94.3,.319,.388,.514,48.0,52.7,9.1,8.7,.475,18.3,25.1,.233
Army,31,15,16,.484,-10.53,-7.53,9,9,10,4,4,12,2183,2182,1250,819,1854,.442,266,750,.355,278,415,.670,291,1094,445,236,130,430,525,69.9,99.9,.224,.405,.532,48.7,54.3,10.8,11.0,.513,17.3,26.4,.150
