School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,29,24,5,0.828,6.27,-6.37,13.0,2.0,13.0,0.0,5.0,4.0,2196.0,1753.0,1160.0,786.0,1752.0,0.449,221.0,643.0,0.344,403.0,594.0,0.678,329.0,1047.0,513.0,282.0,86.0,394.0,554.0,72.0,105.2,0.339,0.367,0.54,51.5,65.3,13.5,8.9,0.512,16.2,31.3,0.23,14.0,R32,EAST
Air Force,25,5,20,0.2,-12.98,0.22,3.0,17.0,3.0,8.0,1.0,10.0,1468.0,1798.0,1000.0,522.0,1170.0,0.446,174.0,527.0,0.33,250.0,361.0,0.693,110.0,580.0,308.0,177.0,62.0,361.0,415.0,63.9,91.9,0.309,0.45,0.547,40.1,59.0,11.1,8.0,0.521,21.2,15.3,0.214,NA,NA,NA
Akron,23,15,8,0.652,1.85,-1.96,12.0,6.0,9.0,1.0,5.0,5.0,1798.0,1660.0,930.0,628.0,1415.0,0.444,217.0,652.0,0.333,325.0,429.0,0.758,262.0,895.0,305.0,113.0,84.0,271.0,413.0,70.1,110.2,0.303,0.461,0.555,51.7,48.6,6.9,8.9,0.52,14.3,31.0,0.23,NA,NA,NA
Alabama,33,26,7,0.788,19.58,10.01,16.0,2.0,12.0,1.0,7.0,3.0,2629.0,2313.0,1325.0,924.0,2125.0,0.435,348.0,989.0,0.352,433.0,612.0,0.708,408.0,1343.0,464.0,280.0,143.0,458.0,603.0,74.7,106.3,0.288,0.465,0.544,51.7,50.2,11.3,10.6,0.517,15.9,31.8,0.204,2.0,S16,EAST
Alabama A&M,15,6,9,0.4,-18.86,-14.99,4.0,9.0,5.0,2.0,1.0,7.0,950.0,1008.0,610.0,347.0,868.0,0.4,83.0,286.0,0.29,173.0,276.0,0.627,160.0,577.0,164.0,82.0,54.0,229.0,272.0,70.1,88.9,0.318,0.329,0.475,49.8,47.3,7.7,9.1,0.448,18.6,28.1,0.199,NA,NA,NA
Alabama State,18,4,14,0.222,-24.28,-16.95,4.0,14.0,3.0,6.0,1.0,8.0,1156.0,1288.0,720.0,383.0,1009.0,0.38,111.0,350.0,0.317,279.0,431.0,0.647,205.0,653.0,175.0,110.0,43.0,291.0,343.0,72.4,88.8,0.427,0.347,0.476,49.1,45.7,8.4,6.1,0.435,19.3,29.5,0.277,NA,NA,NA
Albany (NY),16,7,9,0.438,-4.53,-5.22,6.0,6.0,4.0,5.0,2.0,4.0,1110.0,1099.0,640.0,395.0,883.0,0.447,102.0,303.0,0.337,218.0,301.0,0.724,110.0,480.0,187.0,98.0,29.0,201.0,285.0,69.7,99.6,0.341,0.343,0.541,47.9,47.3,8.8,5.1,0.505,16.4,22.3,0.247,NA,NA,NA
Alcorn State,19,6,13,0.316,-19.58,-10.06,6.0,7.0,4.0,3.0,2.0,9.0,1256.0,1437.0,760.0,435.0,1107.0,0.393,113.0,376.0,0.301,273.0,376.0,0.726,206.0,608.0,177.0,144.0,30.0,276.0,394.0,71.3,92.8,0.34,0.34,0.488,47.8,40.7,10.6,5.0,0.444,17.7,29.7,0.247,NA,NA,NA
American,10,4,6,0.4,-6.32,-1.82,4.0,5.0,2.0,2.0,2.0,4.0,691.0,736.0,420.0,248.0,557.0,0.445,90.0,238.0,0.378,105.0,149.0,0.705,78.0,326.0,128.0,73.0,47.0,158.0,193.0,67.5,97.5,0.268,0.427,0.55,48.2,51.6,10.3,11.4,0.526,20.1,24.1,0.189,NA,NA,NA
Appalachian State,29,17,12,0.586,-5.84,-5.72,7.0,8.0,9.0,4.0,4.0,7.0,2039.0,1860.0,1185.0,690.0,1688.0,0.409,233.0,737.0,0.316,426.0,574.0,0.742,319.0,1053.0,344.0,230.0,107.0,343.0,394.0,66.8,103.1,0.34,0.437,0.52,50.8,49.9,11.6,10.4,0.478,14.9,29.8,0.252,16.0,R68,WEST
Arizona,26,17,9,0.654,15.02,8.18,11.0,9.0,12.0,4.0,5.0,5.0,1961.0,1783.0,1050.0,667.0,1492.0,0.447,174.0,468.0,0.372,453.0,623.0,0.727,305.0,997.0,403.0,152.0,104.0,309.0,463.0,68.4,109.2,0.418,0.314,0.548,55.1,60.4,8.5,11.2,0.505,14.7,34.0,0.304,NA,NA,NA
Arizona State,25,11,14,0.44,7.48,10.24,7.0,10.0,7.0,6.0,2.0,6.0,1858.0,1927.0,1010.0,656.0,1515.0,0.433,179.0,537.0,0.333,367.0,504.0,0.728,196.0,797.0,327.0,182.0,82.0,274.0,478.0,72.6,101.4,0.333,0.354,0.53,44.6,49.8,9.9,8.8,0.492,13.5,21.1,0.242,NA,NA,NA
Arkansas,32,25,7,0.781,17.8,7.18,13.0,4.0,16.0,1.0,5.0,4.0,2604.0,2264.0,1285.0,935.0,2071.0,0.451,233.0,702.0,0.332,501.0,677.0,0.74,378.0,1271.0,466.0,251.0,158.0,412.0,540.0,75.1,108.0,0.327,0.339,0.544,52.6,49.8,10.4,13.0,0.508,14.7,31.3,0.242,3.0,E8,SOUTH
Arkansas State,24,11,13,0.458,-7.97,-5.87,7.0,8.0,9.0,3.0,1.0,9.0,1741.0,1667.0,965.0,621.0,1390.0,0.447,154.0,402.0,0.383,345.0,478.0,0.722,265.0,892.0,347.0,158.0,68.0,313.0,385.0,69.3,104.1,0.344,0.289,0.538,52.5,55.9,9.4,7.1,0.502,16.2,31.9,0.248,NA,NA,NA
Arkansas-Pine Bluff,25,4,21,0.16,-22.67,-7.79,3.0,12.0,2.0,3.0,2.0,17.0,1549.0,1921.0,1010.0,524.0,1356.0,0.386,123.0,400.0,0.308,378.0,523.0,0.723,240.0,807.0,240.0,160.0,95.0,394.0,455.0,69.5,88.2,0.386,0.295,0.483,46.7,45.8,9.1,9.9,0.432,19.7,26.7,0.279,NA,NA,NA
Army,22,12,10,0.545,0.06,0.63,7.0,7.0,5.0,5.0,5.0,3.0,1578.0,1529.0,885.0,587.0,1286.0,0.456,172.0,527.0,0.326,232.0,364.0,0.637,178.0,761.0,316.0,138.0,32.0,275.0,342.0,70.0,101.9,0.283,0.41,0.541,49.5,53.8,8.9,4.2,0.523,15.9,23.2,0.18,NA,NA,NA
Auburn,27,13,14,0.481,10.02,9.28,7.0,11.0,8.0,5.0,3.0,8.0,2084.0,2064.0,1090.0,711.0,1628.0,0.437,245.0,751.0,0.326,417.0,589.0,0.708,348.0,1063.0,400.0,168.0,163.0,438.0,482.0,73.4,104.1,0.362,0.461,0.546,52.0,56.3,8.4,14.8,0.512,18.7,34.8,0.256,NA,NA,NA
Austin Peay,27,14,13,0.519,-6.66,-8.22,10.0,10.0,8.0,5.0,4.0,6.0,2007.0,1890.0,1090.0,733.0,1617.0,0.453,194.0,573.0,0.339,347.0,462.0,0.751,341.0,931.0,357.0,183.0,54.0,397.0,472.0,69.0,106.6,0.286,0.354,0.546,52.1,48.7,9.7,5.9,0.513,17.8,36.0,0.215,NA,NA,NA
Ball State,23,10,13,0.435,-1.96,-1.22,8.0,9.0,7.0,4.0,3.0,8.0,1719.0,1736.0,930.0,613.0,1384.0,0.443,195.0,570.0,0.342,298.0,397.0,0.751,229.0,848.0,318.0,126.0,55.0,330.0,441.0,72.0,102.7,0.287,0.412,0.547,49.4,51.9,7.5,6.2,0.513,17.3,27.8,0.215,NA,NA,NA
Baylor,30,28,2,0.933,24.83,7.4,13.0,1.0,11.0,0.0,7.0,1.0,2487.0,1964.0,1205.0,917.0,1886.0,0.486,299.0,724.0,0.413,354.0,500.0,0.708,374.0,1079.0,507.0,267.0,111.0,345.0,513.0,69.6,118.7,0.265,0.384,0.586,53.2,55.3,12.7,10.3,0.565,14.0,36.4,0.188,1.0,Champions,SOUTH
Bellarmine,22,14,8,0.636,-1.76,-5.56,10.0,3.0,6.0,4.0,7.0,2.0,1634.0,1456.0,880.0,615.0,1211.0,0.508,143.0,381.0,0.375,261.0,345.0,0.757,171.0,667.0,342.0,160.0,50.0,245.0,342.0,65.8,112.9,0.285,0.315,0.594,50.8,55.6,11.1,8.3,0.567,15.1,26.8,0.216,NA,NA,NA
Belmont,30,26,4,0.867,3.46,-8.71,18.0,2.0,11.0,1.0,10.0,2.0,2439.0,2074.0,1205.0,894.0,1829.0,0.489,271.0,787.0,0.344,380.0,515.0,0.738,264.0,1072.0,547.0,232.0,87.0,361.0,438.0,71.9,112.7,0.282,0.43,0.588,50.4,61.2,10.7,7.5,0.563,14.8,26.1,0.208,NA,NA,NA
Binghamton,18,4,14,0.222,-12.24,-5.35,4.0,10.0,1.0,9.0,3.0,5.0,1178.0,1302.0,735.0,430.0,1039.0,0.414,156.0,472.0,0.331,162.0,241.0,0.672,191.0,642.0,199.0,90.0,55.0,250.0,307.0,66.2,96.9,0.232,0.454,0.511,50.2,46.3,7.4,8.3,0.489,17.8,29.1,0.156,NA,NA,NA
Boise State,28,19,9,0.679,9.75,1.71,14.0,6.0,11.0,1.0,6.0,6.0,2122.0,1868.0,1125.0,743.0,1634.0,0.455,220.0,635.0,0.346,416.0,566.0,0.735,253.0,995.0,378.0,183.0,80.0,328.0,478.0,70.2,107.4,0.346,0.389,0.558,52.1,50.9,9.3,7.7,0.522,14.7,26.8,0.255,NA,NA,NA
Boston College,20,4,16,0.2,0.82,8.97,2.0,11.0,3.0,5.0,0.0,7.0,1427.0,1590.0,805.0,500.0,1185.0,0.422,180.0,546.0,0.33,247.0,352.0,0.702,183.0,665.0,230.0,144.0,77.0,274.0,324.0,71.8,98.7,0.297,0.461,0.528,47.2,46.0,10.0,10.0,0.498,16.8,25.0,0.208,NA,NA,NA
Boston University,18,7,11,0.389,-3.71,0.84,6.0,10.0,2.0,6.0,5.0,5.0,1249.0,1331.0,720.0,451.0,1035.0,0.436,125.0,393.0,0.318,222.0,296.0,0.75,181.0,636.0,190.0,97.0,56.0,225.0,305.0,67.9,102.2,0.286,0.38,0.531,51.2,42.1,7.9,8.2,0.496,16.1,28.8,0.214,NA,NA,NA
Bowling Green State,26,14,12,0.538,-0.17,-2.37,10.0,8.0,4.0,7.0,10.0,3.0,2015.0,1939.0,1050.0,724.0,1732.0,0.418,213.0,667.0,0.319,354.0,481.0,0.736,325.0,996.0,328.0,184.0,57.0,256.0,442.0,71.9,106.8,0.278,0.385,0.514,49.4,45.3,9.8,5.9,0.48,11.5,30.5,0.204,NA,NA,NA
Bradley,28,12,16,0.429,0.32,1.17,6.0,12.0,8.0,6.0,2.0,9.0,1948.0,1864.0,1130.0,736.0,1636.0,0.45,192.0,603.0,0.318,284.0,393.0,0.723,284.0,1033.0,382.0,144.0,100.0,346.0,455.0,66.4,103.9,0.24,0.369,0.534,52.3,51.9,7.7,11.3,0.509,16.0,29.3,0.174,NA,NA,NA
Brigham Young,27,20,7,0.741,15.19,7.23,10.0,3.0,11.0,2.0,7.0,2.0,2109.0,1853.0,1095.0,776.0,1608.0,0.483,236.0,633.0,0.373,321.0,443.0,0.725,255.0,1058.0,436.0,124.0,76.0,356.0,486.0,70.2,109.8,0.275,0.394,0.58,54.7,56.2,6.5,7.2,0.556,16.4,28.6,0.2,6.0,R64,EAST
Brown,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryant,22,15,7,0.682,-1.37,-7.27,10.0,4.0,10.0,1.0,5.0,5.0,1843.0,1664.0,880.0,638.0,1372.0,0.465,208.0,546.0,0.381,359.0,472.0,0.761,224.0,876.0,336.0,152.0,78.0,333.0,365.0,77.2,108.5,0.344,0.398,0.577,50.8,52.7,8.9,8.6,0.541,17.3,28.2,0.262,NA,NA,NA
Bucknell,12,5,7,0.417,-7.78,-5.36,4.0,6.0,2.0,3.0,3.0,4.0,899.0,928.0,480.0,311.0,683.0,0.455,88.0,267.0,0.33,189.0,248.0,0.762,78.0,402.0,144.0,70.0,42.0,152.0,209.0,73.1,102.5,0.363,0.391,0.561,47.6,46.3,8.0,8.1,0.52,16.0,19.8,0.277,NA,NA,NA
Buffalo,25,16,9,0.64,6.5,-1.58,12.0,5.0,8.0,3.0,5.0,3.0,2034.0,1823.0,1010.0,766.0,1662.0,0.461,175.0,518.0,0.338,327.0,487.0,0.671,370.0,1094.0,397.0,199.0,103.0,347.0,442.0,74.2,108.6,0.293,0.312,0.537,55.1,51.8,10.6,9.6,0.514,15.5,37.2,0.197,NA,NA,NA
Butler,25,10,15,0.4,4.76,9.92,8.0,12.0,8.0,4.0,1.0,9.0,1588.0,1717.0,1015.0,572.0,1393.0,0.411,179.0,554.0,0.323,265.0,410.0,0.646,230.0,807.0,308.0,139.0,51.0,286.0,406.0,65.1,96.1,0.294,0.398,0.5,48.8,53.8,8.4,6.0,0.475,15.3,26.0,0.19,NA,NA,NA
Cal Poly,24,4,20,0.167,-13.69,-1.56,1.0,15.0,3.0,8.0,0.0,11.0,1475.0,1700.0,965.0,519.0,1315.0,0.395,157.0,491.0,0.32,280.0,388.0,0.722,187.0,778.0,298.0,149.0,84.0,333.0,447.0,68.5,89.3,0.295,0.373,0.492,46.4,57.4,9.0,9.3,0.454,18.2,22.1,0.213,NA,NA,NA
Cal State Bakersfield,26,15,11,0.577,-0.13,-2.38,11.0,7.0,9.0,2.0,6.0,8.0,1811.0,1665.0,1045.0,684.0,1531.0,0.447,146.0,414.0,0.353,297.0,416.0,0.714,348.0,959.0,365.0,167.0,78.0,338.0,499.0,65.7,105.6,0.272,0.27,0.524,56.2,53.4,9.7,10.1,0.494,16.4,39.3,0.194,NA,NA,NA
Cal State Fullerton,16,6,10,0.375,-6.32,-3.05,5.0,9.0,5.0,4.0,1.0,5.0,1232.0,1257.0,645.0,430.0,951.0,0.452,131.0,341.0,0.384,241.0,326.0,0.739,140.0,526.0,218.0,107.0,32.0,205.0,271.0,72.7,105.1,0.343,0.359,0.557,47.6,50.7,9.1,5.0,0.521,15.6,25.0,0.253,NA,NA,NA
Cal State Northridge,22,9,13,0.409,-8.69,-1.97,5.0,9.0,4.0,7.0,4.0,4.0,1586.0,1709.0,885.0,560.0,1323.0,0.423,170.0,503.0,0.338,296.0,407.0,0.727,208.0,730.0,293.0,140.0,47.0,261.0,383.0,70.9,101.1,0.308,0.38,0.523,47.0,52.3,8.9,6.1,0.488,14.7,25.3,0.224,NA,NA,NA
California,29,9,20,0.31,4.89,9.75,3.0,17.0,6.0,8.0,1.0,11.0,1897.0,2008.0,1160.0,661.0,1536.0,0.43,204.0,622.0,0.328,371.0,532.0,0.697,235.0,917.0,346.0,126.0,65.0,370.0,516.0,66.3,98.7,0.346,0.405,0.53,49.4,52.3,6.6,6.2,0.497,17.1,24.6,0.242,NA,NA,NA
California Baptist,23,13,10,0.565,-5.25,-5.04,6.0,6.0,11.0,4.0,2.0,5.0,1820.0,1674.0,925.0,634.0,1334.0,0.475,215.0,547.0,0.393,337.0,457.0,0.737,221.0,853.0,403.0,116.0,57.0,310.0,454.0,71.1,110.6,0.343,0.41,0.587,53.1,63.6,7.1,6.3,0.556,16.7,29.0,0.253,NA,NA,NA
Campbell,27,17,10,0.63,-6.82,-7.34,11.0,6.0,9.0,3.0,6.0,7.0,1917.0,1840.0,1095.0,699.0,1409.0,0.496,195.0,520.0,0.375,324.0,478.0,0.678,165.0,767.0,387.0,165.0,61.0,327.0,459.0,65.8,106.4,0.339,0.369,0.586,46.2,55.4,9.2,6.7,0.565,16.7,20.7,0.23,NA,NA,NA
