Team1,Team2,Year,Team1Win,ROUND,TP,OP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,eFG%,TOV%,ORB%,FT/FGA,+-,SEED,SRS
Tennessee,Iowa,2014,1,R68,-9.268632268632274,-8.630630630630627,-2.794430794430795,-4.769860769860763,-0.010000000000000009,-0.24733824733824772,0.5085995085995059,-0.024999999999999967,-3.4324324324324316,-4.185094185094183,-0.016000000000000014,-1.8722358722358692,-0.004914004914002845,-1.8771498771498898,-3.364455364455365,-1.9017199017199014,-0.3210483210483215,-0.7559377559377563,-1.5970515970516033,-7.1000000000000085,-0.7999999999999972,-0.03700000000000003,0.032999999999999974,-0.013000000000000012,0.015000000000000013,-0.06999999999999995,-0.008000000000000007,0.0039999999999998925,0.020999999999999908,-0.03400000000000003,-0.6380016380016471,0.0,-1.2399999999999984
Texas Southern,Cal Poly,2014,0,R68,13.029411764705877,10.264705882352935,3.029411764705884,0.117647058823529,0.05400000000000005,-0.02941176470588225,-1.499999999999993,0.02699999999999997,7.000000000000002,9.029411764705888,0.030000000000000027,4.1470588235294095,0.26470588235294024,4.411764705882355,2.4117647058823515,-1.2647058823529411,0.9117647058823533,4.4411764705882355,-1.7647058823529456,7.400000000000006,6.299999999999997,0.16499999999999998,-0.02899999999999997,0.06399999999999995,0.03400000000000003,0.03200000000000003,0.05499999999999999,0.04200000000000001,0.019999999999999907,0.12799999999999997,2.764705882352942,0.0,-7.07
NC State,Xavier,2014,1,R68,-0.6846405228758243,1.437908496732021,0.8300653594771248,2.8104575163398593,-0.008999999999999952,-0.6732026143790844,-0.12254901960784181,-0.04299999999999998,-1.6715686274509824,-1.4803921568627452,-0.030999999999999917,-1.8349673202614412,0.5751633986928084,-1.2598039215686327,-1.6732026143790826,-0.9591503267973858,1.285947712418301,-1.9656862745098067,-1.2124183006535958,-0.7999999999999972,-0.4000000000000057,-0.045999999999999985,-0.015000000000000013,-0.02200000000000002,-0.03700000000000003,-0.08100000000000007,-0.017000000000000015,-0.025999999999999995,0.0010000000000000009,-0.04299999999999998,-2.1225490196078454,0.0,-2.8200000000000003
Mount St. Mary's,Albany (NY),2014,0,R68,10.025846702317281,13.816399286987519,3.0454545454545467,7.30213903743315,-0.0030000000000000027,4.1755793226381455,11.949197860962572,-0.0050000000000000044,-0.24064171122994615,-0.017825311942957,-0.01100000000000001,-2.5008912655971507,-0.14884135472370907,-2.649732620320858,0.7290552584670227,1.618538324420677,0.02941176470588225,-0.8306595365418907,1.6078431372549034,7.0,4.200000000000003,-0.05299999999999999,0.173,0.015000000000000013,-0.059,-0.030999999999999972,0.027000000000000024,-0.02400000000000002,-0.04099999999999998,-0.043999999999999984,-3.7905525846702375,0.0,-3.0100000000000002
Virginia,Coastal Carolina,2014,1,R64,-6.104928457869633,-12.73608903020667,-2.2154213036565977,-6.992845786963443,0.017000000000000015,-0.6677265500794904,-3.3624801271860107,0.030999999999999972,-1.006359300476948,-0.8887122416534154,-0.017999999999999905,-1.3131955484896665,-2.521462639109698,-3.8346581875993664,2.4340222575516695,-1.136724960254372,1.2305246422893483,-4.127980922098567,-3.5930047694753604,-7.999999999999993,4.599999999999994,0.034999999999999976,-0.02200000000000002,0.014000000000000012,0.015000000000000013,0.14600000000000007,0.017000000000000015,-0.03099999999999989,-0.01899999999999996,0.01699999999999996,6.631160572337038,-15.0,23.59
Saint Joseph's,Memphis,2014,0,R64,-5.323529411764696,-2.911764705882348,-3.470588235294116,-6.470588235294116,-0.007000000000000006,2.0,3.1764705882352935,0.04899999999999999,-0.38235294117646745,-0.6176470588235254,0.0010000000000000009,1.7058823529411882,-3.1764705882352917,-1.470588235294123,-3.382352941176471,-4.205882352941175,-0.14705882352941213,-1.1764705882352935,-2.0,-4.599999999999994,-0.10000000000000853,0.03699999999999998,0.09399999999999997,0.015999999999999903,0.0050000000000000044,-0.04999999999999993,0.017000000000000015,0.0010000000000000009,-0.066,0.02400000000000002,-2.411764705882348,2.0,-3.969999999999999
Harvard,Cincinnati,2014,1,R64,4.836397058823536,2.588235294117638,0.8860294117647065,-2.832720588235297,0.040000000000000036,-0.014705882352941124,-2.2683823529411775,0.04999999999999999,3.079044117647058,3.7849264705882355,0.016000000000000014,1.0974264705882355,-2.9724264705882355,-1.875,1.53125,-0.288602941176471,-0.6856617647058822,0.3180147058823515,0.15808823529411598,0.9999999999999929,4.099999999999994,0.09299999999999997,-0.026000000000000023,0.04499999999999993,-0.01100000000000001,0.04300000000000004,0.04200000000000004,0.006000000000000005,-0.06300000000000011,0.07299999999999995,2.2481617647058982,7.0,-4.470000000000001
Delaware,Michigan State,2014,0,R64,3.9593984962405955,10.104511278195488,-0.2045112781954863,3.4127819548872154,-0.02999999999999997,-0.8789473684210529,0.1661654135338324,-0.04500000000000004,5.247368421052633,7.270676691729324,0.0040000000000000036,-1.333082706766909,0.6052631578947363,-0.7278195488721835,-5.99172932330827,-0.8729323308270676,-1.064661654135338,-1.7729323308270661,-0.11654135338345739,4.900000000000006,-1.5999999999999943,0.10199999999999998,-0.018000000000000016,-0.026999999999999913,-0.05600000000000005,-0.21900000000000008,-0.041000000000000036,-0.031000000000000097,-0.031000000000000028,0.07300000000000001,-6.145112781954893,9.0,-16.62
North Carolina,Providence,2014,1,R64,3.2739495798319354,-0.035294117647055145,3.772268907563028,3.8142857142857167,0.03500000000000003,-1.9344537815126053,-5.178151260504201,-0.010999999999999954,-2.336134453781515,2.1983193277310953,-0.15600000000000003,1.3285714285714292,1.8630252100840323,3.1915966386554544,1.7823529411764731,1.780672268907563,-0.20756302521008418,0.34117647058823586,3.0655462184873947,5.099999999999994,-0.5999999999999943,0.010000000000000009,-0.10600000000000001,-0.013000000000000012,0.010000000000000009,-0.012000000000000122,0.016000000000000014,-0.0050000000000000044,0.027000000000000024,-0.06,3.3092436974789905,-5.0,3.870000000000001
North Carolina Central,Iowa State,2014,0,R64,-9.116013071895424,-14.888888888888886,-4.5882352941176485,-8.312091503267972,-0.011999999999999955,-2.9493464052287575,-7.303921568627445,-0.019999999999999962,3.0098039215686274,3.0359477124183023,0.03500000000000003,-4.758169934640524,1.4362745098039227,-3.3218954248366046,-3.710784313725492,1.761437908496732,1.0849673202614376,0.8856209150326801,2.1062091503267943,-7.0,-1.4000000000000057,0.11199999999999999,-0.07800000000000001,-0.009999999999999898,0.015000000000000013,-0.03400000000000003,-0.029000000000000026,0.021999999999999992,0.07800000000000001,0.09499999999999997,5.772875816993462,11.0,-14.549999999999999
