School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,34,27,7,0.794,-1.91,-7.34,14,4,13,2,10,4,73.58823529411765,63.55882352941177,1370,26.38235294117647,56.205882352941174,0.469,7.382352941176471,19.41176470588235,0.38,13.441176470588236,18.88235294117647,0.712,23.08823529411765,9.558823529411764,32.64705882352941,15.441176470588236,8.735294117647058,2.735294117647059,11.970588235294118,18.676470588235293,67.2,108.6,0.336,0.345,0.565,50.3,58.5,12.9,8.0,0.535,15.5,28.8,0.239,15.0,R64,MIDWEST
Air Force,32,14,18,0.438,-4.28,0.24,8,10,9,6,3,9,68.09375,71.6875,1300,25.0625,55.5,0.452,7.3125,22.21875,0.329,10.65625,15.71875,0.678,25.75,7.90625,33.65625,13.5625,4.8125,1.78125,13.21875,16.96875,67.4,99.5,0.283,0.4,0.541,50.1,54.1,7.0,5.8,0.517,17.4,23.7,0.192,,,
Akron,33,17,16,0.515,4.86,1.09,8,10,14,3,1,10,68.81818181818181,63.84848484848485,1325,24.151515151515152,59.03030303030303,0.409,9.0,28.151515151515152,0.32,11.515151515151516,16.333333333333332,0.705,27.03030303030303,9.454545454545455,36.484848484848484,12.090909090909092,5.606060606060606,3.212121212121212,11.757575757575758,17.242424242424242,68.5,100.1,0.277,0.477,0.515,48.2,50.1,8.2,8.9,0.485,15.0,25.3,0.195,,,
Alabama,34,18,16,0.529,9.45,9.01,8,10,10,6,4,8,72.0,71.55882352941177,1365,25.176470588235293,57.205882352941174,0.44,7.176470588235294,21.11764705882353,0.34,14.470588235294118,21.735294117647058,0.666,26.5,11.294117647058824,37.794117647058826,12.294117647058824,4.617647058823529,4.705882352941177,13.676470588235293,16.823529411764707,69.8,102.8,0.38,0.369,0.533,52.0,48.8,6.6,11.6,0.503,16.8,31.5,0.253,,,
Alabama A&M,32,5,27,0.156,-19.23,-8.38,4,14,4,7,0,18,60.5625,71.40625,1295,23.0,56.53125,0.407,5.6875,18.0625,0.315,8.875,14.15625,0.627,22.4375,9.8125,32.25,12.03125,7.3125,1.5625,15.21875,18.34375,67.5,88.7,0.25,0.32,0.479,47.1,52.3,10.7,4.7,0.457,19.4,27.6,0.157,,,
Alabama State,31,12,19,0.387,-15.6,-7.84,9,9,8,3,3,13,67.29032258064517,72.09677419354838,1250,22.967741935483872,56.903225806451616,0.404,6.967741935483871,21.70967741935484,0.321,14.387096774193548,22.06451612903226,0.652,23.516129032258064,11.774193548387096,35.29032258064516,10.096774193548388,6.548387096774194,3.2903225806451615,14.548387096774194,18.225806451612904,69.6,95.9,0.388,0.382,0.499,49.0,44.0,9.3,9.3,0.465,17.8,30.9,0.253,,,
Albany (NY),32,12,20,0.375,-9.38,-6.7,7,9,6,8,6,10,67.1875,69.25,1300,22.75,54.6875,0.416,8.5625,24.6875,0.347,13.125,17.625,0.745,24.59375,9.1875,33.78125,12.5625,6.09375,2.4375,14.1875,17.6875,66.7,99.2,0.322,0.451,0.533,49.7,55.2,9.0,7.1,0.494,18.4,27.1,0.24,,,
Alcorn State,31,10,21,0.323,-22.08,-8.97,6,12,10,3,0,17,64.35483870967742,70.7741935483871,1245,22.870967741935484,55.516129032258064,0.412,6.806451612903226,20.838709677419356,0.327,11.806451612903226,17.516129032258064,0.674,24.032258064516128,10.774193548387096,34.806451612903224,12.612903225806452,7.387096774193548,3.4516129032258065,15.870967741935484,17.677419354838708,68.8,93.2,0.316,0.375,0.504,49.9,55.1,10.7,9.8,0.473,19.9,30.1,0.213,,,
American,30,15,15,0.5,-4.19,-7.23,9,9,8,7,6,8,72.03333333333333,69.0,1220,26.0,54.833333333333336,0.474,6.333333333333333,19.466666666666665,0.325,13.7,19.633333333333333,0.698,25.433333333333334,8.366666666666667,33.8,13.4,7.366666666666666,4.366666666666666,12.866666666666667,17.333333333333332,67.7,104.6,0.358,0.355,0.561,50.4,51.5,10.7,11.0,0.532,16.7,26.1,0.25,,,
Appalachian State,32,11,21,0.344,-3.73,0.1,6,12,9,5,2,12,79.90625,79.34375,1290,27.5,60.5625,0.454,9.125,25.4375,0.359,15.78125,22.0625,0.715,25.53125,9.6875,35.21875,12.6875,5.34375,2.8125,13.0625,18.28125,73.7,107.6,0.364,0.42,0.562,48.6,46.1,7.2,6.9,0.529,15.5,26.5,0.261,,,
