School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Abilene Christian,31,20,11,0.645,-2.87,-6.87,15,5,13,3,7,8,75.87096774193549,65.29032258064517,1260,26.258064516129032,58.483870967741936,0.449,6.741935483870968,21.806451612903224,0.309,16.612903225806452,22.419354838709676,0.741,22.741935483870968,10.870967741935484,33.61290322580645,14.870967741935484,9.451612903225806,2.6129032258064515,14.064516129032258,21.322580645161292,71.1,105.0,0.383,0.373,0.549,50.1,56.6,13.1,7.9,0.507,16.9,30.6,0.284,,
Air Force,32,12,20,0.375,-0.37,3.02,5,13,8,7,3,9,73.0625,74.5625,1280,25.0625,54.96875,0.456,8.59375,22.9375,0.375,14.34375,19.625,0.731,25.09375,7.40625,32.5,14.65625,5.03125,1.34375,12.34375,16.6875,68.9,106.0,0.357,0.417,0.568,50.0,58.5,7.3,4.6,0.534,16.1,22.7,0.261,,
Akron,31,24,7,0.774,7.15,-0.4,14,4,15,2,8,4,75.74193548387096,66.51612903225806,1240,25.419354838709676,57.70967741935484,0.44,9.258064516129032,25.64516129032258,0.361,15.64516129032258,20.258064516129032,0.772,27.967741935483872,9.741935483870968,37.70967741935484,13.064516129032258,5.096774193548387,2.935483870967742,12.806451612903226,17.677419354838708,70.6,107.2,0.351,0.444,0.562,50.7,51.4,7.2,7.3,0.521,16.0,27.9,0.271,,
Alabama,31,16,15,0.516,11.12,8.12,8,10,10,5,4,8,82.0,79.0,1260,27.548387096774192,63.096774193548384,0.437,10.774193548387096,30.870967741935484,0.349,16.129032258064516,23.258064516129032,0.693,27.70967741935484,11.64516129032258,39.354838709677416,14.225806451612904,6.32258064516129,4.387096774193548,14.870967741935484,20.06451612903226,76.1,106.0,0.369,0.489,0.553,49.7,51.6,8.2,10.4,0.522,16.7,29.8,0.256,,
Alabama A&M,30,8,22,0.267,-18.88,-8.85,5,13,6,5,2,16,61.5,71.53333333333333,1205,21.866666666666667,57.56666666666667,0.38,5.133333333333334,18.266666666666666,0.281,12.633333333333333,18.833333333333332,0.671,24.966666666666665,9.533333333333333,34.5,10.866666666666667,5.8,2.1,13.033333333333333,17.933333333333334,69.6,87.9,0.327,0.317,0.462,47.5,49.7,8.3,5.7,0.424,16.4,24.7,0.219,,
Alabama State,32,8,24,0.25,-16.15,-6.53,7,11,4,5,2,16,61.40625,71.03125,1280,21.34375,55.09375,0.387,6.5,21.46875,0.303,12.21875,19.65625,0.622,23.0,9.21875,32.21875,10.15625,6.25,2.1875,16.0,19.9375,70.8,86.7,0.357,0.39,0.477,47.1,47.6,8.8,6.0,0.446,19.9,25.7,0.222,,
Albany (NY),32,14,18,0.438,-8.78,-5.91,7,9,7,7,5,11,66.46875,68.4375,1285,22.65625,55.25,0.41,7.96875,24.1875,0.329,13.1875,18.75,0.703,26.15625,8.09375,34.25,12.78125,5.59375,2.8125,13.625,16.65625,69.7,95.0,0.339,0.438,0.518,49.8,56.4,8.0,7.9,0.482,17.5,24.1,0.239,,
Alcorn State,30,15,15,0.5,-14.64,-9.64,11,7,11,2,4,13,75.03333333333333,73.2,1210,26.133333333333333,61.2,0.427,8.933333333333334,24.433333333333334,0.366,13.833333333333334,18.6,0.744,26.2,11.0,37.2,13.466666666666667,7.966666666666667,3.2666666666666666,14.433333333333334,18.3,72.6,102.5,0.304,0.399,0.536,51.3,51.5,10.9,8.4,0.5,17.1,30.2,0.226,,
American,30,16,14,0.533,-4.37,-6.5,12,6,10,4,6,10,71.63333333333334,69.5,1205,26.533333333333335,58.1,0.457,6.866666666666666,20.2,0.34,11.7,16.633333333333333,0.703,23.7,8.9,32.6,12.8,8.0,3.533333333333333,12.3,17.366666666666667,69.0,103.4,0.286,0.348,0.543,48.5,48.2,11.5,9.3,0.516,15.7,26.5,0.201,,
Appalachian State,33,18,15,0.545,-0.81,-0.01,11,9,10,5,7,9,68.36363636363636,67.33333333333333,1325,23.484848484848484,54.54545454545455,0.431,6.424242424242424,21.181818181818183,0.303,14.969696969696969,22.454545454545453,0.667,25.151515151515152,9.787878787878787,34.93939393939394,11.545454545454545,7.454545454545454,2.242424242424242,13.333333333333334,15.575757575757576,68.6,99.3,0.412,0.388,0.524,49.7,49.2,10.8,6.5,0.489,17.0,27.7,0.274,,
Arizona,32,21,11,0.656,19.49,8.4,10,8,13,4,4,6,76.40625,65.3125,1290,26.5625,59.53125,0.446,7.28125,20.65625,0.352,16.0,21.84375,0.732,26.53125,10.90625,37.4375,15.375,6.75,3.71875,11.8125,18.53125,70.3,107.9,0.367,0.347,0.546,52.5,57.9,9.5,10.6,0.507,14.5,30.7,0.269,,
Arizona State,31,20,11,0.645,11.46,8.1,11,7,13,3,6,5,73.80645161290323,70.45161290322581,1240,26.322580645161292,61.41935483870968,0.429,7.32258064516129,22.677419354838708,0.323,13.838709677419354,19.903225806451612,0.695,25.903225806451612,10.064516129032258,35.96774193548387,11.129032258064516,8.03225806451613,3.3548387096774195,13.161290322580646,18.612903225806452,73.7,100.1,0.324,0.369,0.521,48.5,42.3,10.9,9.4,0.488,15.7,26.5,0.225,,
Arkansas,32,20,12,0.625,13.46,7.27,7,11,14,4,4,8,75.8125,69.625,1300,25.25,57.03125,0.443,7.59375,22.75,0.334,17.71875,24.25,0.731,24.09375,7.46875,31.5625,11.90625,7.90625,3.875,11.53125,19.9375,71.4,104.5,0.425,0.399,0.553,45.2,47.2,10.9,10.3,0.509,14.4,21.5,0.311,,
