,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,30,13,17,.433,-2.50,1.20,,5,11,,9,5,,4,8,,2249,2133,,70.9,99.5,.450,.339,.576,50.9,51.4,7.8,8.3,.538,22.2,26.5,.322
2,Air Force,32,14,18,.438,2.31,2.44,,5,13,,10,9,,4,9,,2142,2146,,63.6,104.2,.352,.329,.535,52.3,42.3,8.9,11.0,.493,14.9,28.6,.263
3,Akron,33,22,11,.667,4.52,-1.32,,13,5,,15,1,,5,6,,2463,2209,,67.2,98.9,.273,.357,.522,47.9,46.1,8.5,9.4,.489,16.1,26.0,.201
4,Alabama NCAA,34,29,5,.853,23.75,10.07,,16,2,,15,0,,9,3,,2794,2329,,72.7,92.2,.328,.306,.460,45.5,41.8,9.8,11.4,.415,13.7,27.5,.234
5,Alabama A&M,33,15,18,.455,-10.51,-7.44,,10,8,,9,8,,5,8,,2297,2340,,69.9,100.7,.403,.399,.533,52.2,53.8,11.1,9.1,.492,18.9,34.9,.286
6,Alabama State,31,8,23,.258,-16.05,-6.02,,6,12,,5,5,,2,18,,1963,2252,,68.6,105.5,.344,.345,.526,51.5,45.8,10.2,12.6,.494,15.1,33.9,.236
7,Albany (NY),31,8,23,.258,-14.37,-4.54,,3,13,,5,6,,2,16,,2086,2332,,67.9,110.4,.370,.335,.582,50.2,53.8,9.6,10.8,.550,15.4,26.3,.269
8,Alcorn State,32,18,14,.563,-8.49,-5.55,,15,3,,7,2,,10,10,,2165,2259,,67.8,102.5,.392,.406,.547,49.8,58.9,8.3,8.3,.514,18.3,31.4,.270
9,American,32,17,15,.531,-8.31,-7.78,,7,11,,8,6,,9,9,,2093,2110,,62.6,103.7,.321,.337,.550,49.0,52.3,13.0,7.2,.518,16.9,27.9,.232
10,Appalachian State,32,16,16,.500,-1.41,-0.90,,9,9,,10,7,,6,7,,2248,2067,,67.3,95.3,.244,.390,.495,50.2,50.2,8.8,6.7,.466,16.1,27.4,.174
11,Arizona NCAA,34,28,6,.824,20.05,8.87,,14,6,,15,2,,6,4,,2811,2431,,72.9,98.1,.260,.387,.503,45.7,49.4,10.8,9.3,.472,14.8,26.2,.186
12,Arizona State NCAA,35,23,12,.657,11.71,8.46,,11,9,,10,5,,7,6,,2489,2375,,69.1,97.2,.332,.391,.504,51.2,54.5,8.7,8.1,.467,17.5,31.4,.234
