,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,30,13,17,.433,-2.50,1.20,,5,11,,9,5,,4,8,,2249,2133,,70.9,104.9,.318,.341,.543,49.1,58.0,12.3,7.0,.510,15.5,28.6,.230
2,Air Force,32,14,18,.438,2.31,2.44,,5,13,,10,9,,4,9,,2142,2146,,63.6,104.0,.312,.448,.570,47.7,64.9,8.9,11.0,.542,17.2,22.3,.226
3,Akron,33,22,11,.667,4.52,-1.32,,13,5,,15,1,,5,6,,2463,2209,,67.2,110.3,.339,.445,.559,52.1,52.5,8.9,7.2,.524,14.4,29.9,.250
4,Alabama NCAA,34,29,5,.853,23.75,10.07,,16,2,,15,0,,9,3,,2794,2329,,72.7,110.6,.367,.478,.562,54.5,54.8,8.2,11.3,.527,16.2,33.8,.267
5,Alabama A&M,33,15,18,.455,-10.51,-7.44,,10,8,,9,8,,5,8,,2297,2340,,69.9,98.9,.347,.327,.528,47.8,50.9,11.4,12.0,.501,18.6,30.0,.228
6,Alabama State,31,8,23,.258,-16.05,-6.02,,6,12,,5,5,,2,18,,1963,2252,,68.6,92.0,.321,.332,.468,48.5,45.2,8.5,9.1,.426,16.5,32.4,.226
7,Albany (NY),31,8,23,.258,-14.37,-4.54,,3,13,,5,6,,2,16,,2086,2332,,67.9,98.8,.313,.413,.517,49.8,50.0,8.4,4.5,.481,17.0,28.8,.226
8,Alcorn State,32,18,14,.563,-8.49,-5.55,,15,3,,7,2,,10,10,,2165,2259,,67.8,98.2,.353,.297,.496,50.2,41.4,11.7,7.7,.452,15.6,33.7,.254
9,American,32,17,15,.531,-8.31,-7.78,,7,11,,8,6,,9,9,,2093,2110,,62.6,102.9,.279,.361,.567,51.0,55.5,11.7,11.4,.544,19.5,28.3,.196
10,Appalachian State,32,16,16,.500,-1.41,-0.90,,9,9,,10,7,,6,7,,2248,2067,,67.3,103.6,.293,.392,.532,49.8,50.9,9.4,12.8,.507,14.3,25.8,.198
11,Arizona NCAA,34,28,6,.824,20.05,8.87,,14,6,,15,2,,6,4,,2811,2431,,72.9,113.4,.365,.380,.595,54.3,65.3,8.4,8.3,.568,16.1,31.1,.259
12,Arizona State NCAA,35,23,12,.657,11.71,8.46,,11,9,,10,5,,7,6,,2489,2375,,69.1,101.8,.311,.395,.514,48.8,57.1,10.3,13.2,.482,14.4,29.4,.215
13,Arkansas NCAA,33,20,13,.606,16.51,9.48,,8,10,,14,3,,2,8,,2456,2224,,70.1,105.7,.387,.282,.552,51.8,49.6,11.9,13.4,.520,16.1,30.5,.267
14,Arkansas State,33,13,20,.394,-7.93,-3.17,,4,14,,10,8,,2,11,,2169,2232,,64.8,101.0,.334,.330,.520,50.3,55.7,10.2,9.2,.490,15.6,29.0,.226
15,Arkansas-Pine Bluff,31,10,21,.323,-12.66,-5.03,,6,12,,8,5,,2,16,,2074,2162,,71.3,93.0,.328,.433,.501,48.7,56.5,11.2,7.9,.460,18.6,27.2,.238
16,Army,33,17,16,.515,-7.27,-7.72,,10,8,,10,5,,7,8,,2412,2322,,68.1,106.5,.308,.387,.568,53.0,48.8,7.4,6.0,.546,16.7,27.5,.210
17,Auburn NCAA,32,20,12,.625,14.84,9.19,,10,8,,14,2,,4,8,,2327,2146,,68.7,105.4,.355,.354,.531,50.8,55.0,11.6,13.8,.496,15.4,33.3,.249
18,Austin Peay,31,9,22,.290,-12.02,-2.45,,3,15,,7,8,,1,13,,2067,2241,,66.8,99.4,.277,.385,.510,47.1,52.1,10.6,8.8,.477,15.2,28.0,.201
19,Ball State,32,20,12,.625,-0.82,-3.12,,11,7,,12,2,,6,7,,2445,2292,,68.5,111.1,.425,.365,.570,52.1,50.2,8.0,9.8,.538,15.4,31.2,.293
20,Baylor NCAA,32,22,10,.688,17.96,11.06,,11,7,,14,3,,5,5,,2469,2248,,67.9,113.3,.372,.453,.569,51.6,56.4,9.8,6.8,.531,15.4,34.7,.278
21,Bellarmine,33,15,18,.455,-7.32,-1.26,,9,9,,8,6,,6,12,,2187,2216,,62.8,104.7,.251,.433,.562,48.0,58.6,8.8,5.4,.535,15.9,22.1,.189
22,Belmont,32,21,11,.656,2.20,-1.61,,14,6,,12,2,,7,7,,2447,2299,,69.0,109.9,.249,.416,.575,48.4,54.3,10.1,8.1,.553,14.6,25.2,.181
23,Bethune-Cookman,33,13,20,.394,-16.56,-7.59,,9,10,,8,5,,4,13,,2232,2459,,69.6,96.9,.313,.326,.505,45.9,46.8,10.2,8.0,.471,16.0,27.2,.218
24,Binghamton,31,13,18,.419,-10.47,-5.54,,8,8,,8,7,,5,11,,2133,2217,,67.0,101.0,.297,.302,.530,51.0,45.5,6.8,8.4,.499,16.7,29.0,.212
25,Boise State NCAA,33,24,9,.727,13.34,6.31,,13,5,,15,1,,5,6,,2384,2123,,67.0,106.7,.306,.379,.556,52.5,43.4,7.6,8.2,.524,14.7,26.7,.225
26,Boston College,33,16,17,.485,1.00,4.64,,9,11,,9,7,,4,7,,2197,2317,,66.7,99.0,.273,.315,.519,49.3,50.4,9.5,10.4,.487,16.1,27.5,.198
27,Boston University,32,15,17,.469,-8.22,-6.64,,8,10,,9,4,,6,11,,2147,2151,,66.3,99.7,.284,.391,.513,51.3,44.0,9.5,7.5,.477,15.5,28.6,.210
28,Bowling Green State,31,11,20,.355,-8.14,-3.48,,5,13,,7,9,,4,11,,2355,2434,,71.2,106.7,.335,.354,.547,50.8,51.0,8.5,8.1,.512,14.9,29.6,.243
29,Bradley,35,25,10,.714,6.85,-0.33,,16,4,,15,1,,8,6,,2473,2195,,65.9,106.8,.275,.391,.550,52.8,50.7,10.3,11.8,.530,15.4,29.2,.183
30,Brigham Young,34,19,15,.559,9.81,5.78,,7,9,,12,4,,2,7,,2568,2376,,70.9,106.1,.324,.404,.554,54.0,54.9,10.4,11.4,.523,17.2,31.8,.232
31,Brown,27,14,13,.519,-2.73,-2.95,,7,7,,7,5,,7,8,,1878,1872,,69.9,99.1,.298,.399,.528,50.3,54.5,10.2,9.0,.507,16.9,25.3,.191
32,Bryant,30,17,13,.567,-3.63,-4.56,,8,8,,9,4,,7,8,,2381,2193,,73.0,108.3,.331,.392,.565,53.6,47.5,9.1,9.4,.532,16.0,30.1,.243
33,Bucknell,32,12,20,.375,-9.97,-7.00,,5,13,,7,7,,3,13,,2161,2192,,66.4,100.9,.265,.377,.549,51.5,53.8,8.2,10.3,.523,17.8,25.8,.190
34,Buffalo,32,15,17,.469,-2.73,0.91,,9,9,,11,4,,3,9,,2481,2485,,74.2,104.1,.316,.348,.539,51.8,51.9,10.7,8.2,.509,16.4,31.9,.223
35,Butler,32,14,18,.438,5.77,8.45,,6,14,,10,6,,3,10,,2088,2174,,67.2,97.1,.260,.358,.526,45.2,52.3,10.0,11.0,.495,16.0,19.9,.192
36,Cal Poly,33,8,25,.242,-7.17,-0.20,,1,18,,6,11,,1,13,,2006,2174,,65.1,92.7,.306,.355,.505,50.3,47.7,8.4,7.6,.465,18.7,25.8,.228
37,Cal State Bakersfield,33,11,22,.333,-8.06,-1.19,,6,14,,6,8,,3,12,,1995,2134,,63.4,93.9,.289,.247,.495,49.7,48.5,9.6,10.6,.454,17.4,28.6,.220
38,Cal State Fullerton,33,20,13,.606,2.05,0.05,,12,6,,11,2,,7,8,,2283,2148,,65.5,102.5,.376,.379,.535,49.0,43.6,9.6,7.7,.500,15.5,26.9,.260
39,Cal State Northridge,32,7,25,.219,-10.08,-1.41,,4,16,,7,8,,0,14,,2028,2194,,65.7,96.1,.353,.331,.501,48.6,45.2,9.5,9.2,.454,16.5,28.0,.262
40,California,32,3,29,.094,-2.90,8.88,,2,18,,3,14,,0,12,,1866,2243,,64.3,90.0,.315,.309,.479,47.0,46.5,7.3,9.1,.437,17.6,25.3,.228
41,California Baptist,33,17,16,.515,0.50,-0.41,,7,10,,12,5,,4,8,,2291,2156,,65.9,104.6,.312,.441,.526,52.3,58.1,6.7,8.2,.500,14.8,30.4,.207
42,Campbell,34,16,18,.471,-5.24,-4.90,,8,10,,8,6,,4,10,,2374,2329,,64.6,106.1,.389,.384,.564,49.6,50.1,9.5,9.0,.531,16.1,25.3,.273
43,Canisius,30,10,20,.333,-6.94,-3.35,,8,12,,7,7,,3,12,,2111,2169,,67.5,102.1,.248,.406,.522,48.4,56.5,8.1,6.6,.492,15.0,28.8,.181
