School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON
Abilene Christian,31,13,18,0.419,-13.93,-7.53,8,10,10,5,2,12,2209,2272,1250,792,1662,0.477,168,486,0.346,520,735,0.707,266,1031,376,160,98,448,596,69.7,104.3,0.442,0.292,0.565,51.0,47.5,7.3,8.6,0.527,18.2,26.9,0.313,NA,NA
UAB,33,26,7,0.788,3.5,-3.07,16,2,16,0,10,4,2606,2323,1340,841,2017,0.417,233,712,0.327,408,589,0.693,390,1144,430,205,103,417,590,69.4,99.9,0.292,0.353,0.506,47.6,51.1,8.8,7.9,0.475,15.4,30.4,0.202,NA,NA
Alabama,33,18,15,0.545,7.14,8.62,8,10,10,4,5,8,2193,2242,1330,769,1878,0.409,211,642,0.329,493,735,0.671,431,1259,370,189,96,402,647,66.1,102.0,0.391,0.342,0.503,52.5,48.1,8.6,9.7,0.466,15.3,34.6,0.263,NA,NA
Albany (NY),33,24,9,0.727,0.93,-7.57,13,3,14,1,10,8,2495,2180,1335,801,1899,0.422,229,750,0.305,349,516,0.676,310,1027,404,177,131,428,695,67.8,96.4,0.272,0.395,0.508,44.6,50.4,7.8,10.4,0.482,16.6,25.9,0.184,NA,NA
American,31,12,19,0.387,-14.18,-6.08,9,9,5,7,7,12,1785,2036,1250,735,1568,0.469,147,473,0.311,419,628,0.667,284,992,362,225,75,370,530,62.0,105.1,0.401,0.302,0.545,53.2,49.3,11.6,8.2,0.516,16.5,30.2,0.267,NA,NA
Appalachian State,31,9,22,0.29,-7.91,-1.1,7,13,6,7,2,12,2187,2398,1240,856,1852,0.462,183,474,0.386,503,738,0.682,357,1157,373,197,116,349,673,70.8,109.2,0.398,0.256,0.544,50.3,43.6,9.0,10.8,0.512,13.7,32.3,0.272,NA,NA
Arizona State,32,15,17,0.469,8.28,8.96,5,13,11,6,3,9,2345,2367,1290,830,1812,0.458,224,633,0.354,483,690,0.7,302,1159,483,186,150,411,670,69.8,105.2,0.381,0.349,0.553,49.6,58.2,8.3,12.9,0.52,16.1,27.8,0.267,NA,NA
Arizona,34,25,9,0.735,18.79,7.23,12,6,17,1,5,5,2735,2342,1390,853,2067,0.413,204,646,0.316,432,606,0.713,320,1055,412,187,117,388,743,69.8,96.6,0.293,0.313,0.497,43.5,48.3,7.7,8.4,0.462,14.1,24.7,0.209,6.0,R64
Little Rock,35,30,5,0.857,7.12,-1.76,17,3,14,0,12,4,2487,2129,1415,720,1825,0.395,226,721,0.313,463,677,0.684,353,1190,377,140,96,486,609,64.5,93.3,0.371,0.395,0.496,49.9,52.4,6.1,7.6,0.456,18.5,28.8,0.254,12.0,R32
Arkansas,32,16,16,0.5,10.23,6.76,9,9,13,4,3,8,2501,2390,1305,803,1844,0.435,231,644,0.359,553,790,0.7,349,1187,447,165,140,454,658,71.3,102.7,0.428,0.349,0.538,50.0,55.7,7.1,9.7,0.498,17.0,30.0,0.3,NA,NA
Auburn,31,11,20,0.355,0.15,7.54,5,13,8,7,2,11,2192,2421,1245,832,1877,0.443,232,667,0.348,525,752,0.698,376,1270,439,187,122,400,656,72.5,107.3,0.401,0.355,0.542,52.8,52.8,8.3,11.9,0.505,15.2,32.3,0.28,NA,NA
Austin Peay,36,18,18,0.5,-6.04,-2.98,7,9,7,7,7,9,2740,2765,1460,995,2159,0.461,302,840,0.36,471,667,0.706,378,1236,524,252,108,478,765,70.5,107.4,0.309,0.389,0.558,48.2,52.7,9.8,7.7,0.531,16.2,29.5,0.218,16.0,R64
Baylor,34,22,12,0.647,16.13,9.76,10,8,15,5,6,5,2621,2366,1375,823,1843,0.447,233,638,0.365,485,693,0.7,314,1011,598,223,134,463,666,67.6,101.9,0.376,0.346,0.545,44.4,72.7,9.6,9.4,0.51,17.6,28.2,0.263,5.0,R64
Belmont,32,20,12,0.625,1.19,-2.1,12,4,11,1,8,10,2638,2510,1285,873,1977,0.442,242,689,0.351,522,725,0.72,370,1137,420,229,100,390,665,72.8,107.3,0.367,0.349,0.541,50.7,48.1,9.8,10.9,0.503,14.4,30.7,0.264,NA,NA
