School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION
Abilene Christian,30,13,17,.433,-2.50,1.20,5,11,9,5,4,8,2249,2133,1210,812,1800,.451,211,613,.344,414,573,.723,307,972,471,264,71,379,617,70.9,104.9,.318,.341,.543,49.1,58.0,12.3,7.0,.510,15.5,28.6,.230,,,
Air Force,32,14,18,.438,2.31,2.44,5,13,10,9,4,9,2142,2146,1295,756,1636,.462,261,733,.356,369,511,.722,213,946,491,184,127,391,544,63.6,104.0,.312,.448,.570,47.7,64.9,8.9,11.0,.542,17.2,22.3,.226,,,
Akron,33,22,11,.667,4.52,-1.32,13,5,15,1,5,6,2463,2209,1330,844,1898,.445,300,845,.355,475,643,.739,335,1178,443,199,87,370,529,67.2,110.3,.339,.445,.559,52.1,52.5,8.9,7.2,.524,14.4,29.9,.250,,,
Alabama,34,29,5,.853,23.75,10.07,16,2,15,0,9,3,2794,2329,1390,944,2115,.446,342,1012,.338,564,777,.726,434,1508,517,206,172,479,633,72.7,110.6,.367,.478,.562,54.5,54.8,8.2,11.3,.527,16.2,33.8,.267,1,,SOUTH
Alabama A&M,33,15,18,.455,-10.51,-7.44,10,8,9,8,5,8,2297,2340,1336,823,1868,.441,226,610,.370,425,649,.655,334,1079,419,264,133,498,624,69.9,98.9,.347,.327,.528,47.8,50.9,11.4,12.0,.501,18.6,30.0,.228,,,
Alabama State,31,8,23,.258,-16.05,-6.02,6,12,5,5,2,18,1963,2252,1245,683,1821,.375,185,605,.306,412,584,.705,387,1117,309,182,110,414,557,68.6,92.0,.321,.332,.468,48.5,45.2,8.5,9.1,.426,16.5,32.4,.226,,,
Albany (NY),31,8,23,.258,-14.37,-4.54,3,13,5,6,2,16,2086,2332,1245,726,1755,.414,237,725,.327,397,550,.722,317,1033,363,178,51,414,576,67.9,98.8,.313,.413,.517,49.8,50.0,8.4,4.5,.481,17.0,28.8,.226,,,
Alcorn State,32,18,14,.563,-8.49,-5.55,15,3,7,2,10,10,2165,2259,1301,763,1868,.408,164,554,.296,475,659,.721,384,1087,316,257,80,404,605,67.8,98.2,.353,.297,.496,50.2,41.4,11.7,7.7,.452,15.6,33.7,.254,,,
American,32,17,15,.531,-8.31,-7.78,7,11,8,6,9,9,2093,2110,1300,785,1630,.482,204,589,.346,319,455,.701,259,970,436,238,126,448,482,62.6,102.9,.279,.361,.567,51.0,55.5,11.7,11.4,.544,19.5,28.3,.196,,,
Appalachian State,32,16,16,.500,-1.41,-0.90,9,9,10,7,6,7,2248,2067,1290,819,1854,.442,243,726,.335,367,543,.676,288,1142,417,204,146,352,442,67.3,103.6,.293,.392,.532,49.8,50.9,9.4,12.8,.507,14.3,25.8,.198,,,
Arizona,34,28,6,.824,20.05,8.87,14,6,15,2,6,4,2811,2431,1360,999,2015,.496,292,765,.382,521,735,.709,349,1339,652,208,109,455,579,72.9,113.4,.365,.380,.595,54.3,65.3,8.4,8.3,.568,16.1,31.1,.259,2,,SOUTH
Arizona State,35,23,12,.657,11.71,8.46,11,9,10,5,7,6,2489,2375,1415,885,2111,.419,266,834,.319,453,657,.689,389,1281,505,252,163,409,647,69.1,101.8,.311,.395,.514,48.8,57.1,10.3,13.2,.482,14.4,29.4,.215,11,,WEST
Arkansas,33,20,13,.606,16.51,9.48,8,10,14,3,2,8,2456,2224,1325,893,1879,.475,168,530,.317,502,728,.690,331,1162,443,277,173,426,631,70.1,105.7,.387,.282,.552,51.8,49.6,11.9,13.4,.520,16.1,30.5,.267,8,,WEST
Arkansas State,33,13,20,.394,-7.93,-3.17,4,14,10,8,2,11,2169,2232,1325,777,1799,.432,209,593,.352,406,600,.677,325,1108,433,220,108,385,553,64.8,101.0,.334,.330,.520,50.3,55.7,10.2,9.2,.490,15.6,29.0,.226,,,
Arkansas-Pine Bluff,31,10,21,.323,-12.66,-5.03,6,12,8,5,2,16,2074,2162,1250,701,1791,.391,245,776,.316,427,587,.727,314,1071,396,250,86,473,611,71.3,93.0,.328,.433,.501,48.7,56.5,11.2,7.9,.460,18.6,27.2,.238,,,
Army,33,17,16,.515,-7.27,-7.72,10,8,10,5,7,8,2412,2322,1330,885,1853,.478,252,718,.351,390,570,.684,280,1132,432,168,70,427,532,68.1,106.5,.308,.387,.568,53.0,48.8,7.4,6.0,.546,16.7,27.5,.210,,,
Auburn,32,20,12,.625,14.84,9.19,10,8,14,2,4,8,2327,2146,1285,826,1875,.441,208,663,.314,467,665,.702,375,1159,454,256,164,399,615,68.7,105.4,.355,.354,.531,50.8,55.0,11.6,13.8,.496,15.4,33.3,.249,9,,MIDWEST
Austin Peay,31,9,22,.290,-12.02,-2.45,3,15,7,8,1,13,2067,2241,1245,743,1790,.415,222,690,.322,359,495,.725,312,972,387,220,94,364,525,66.8,99.4,.277,.385,.510,47.1,52.1,10.6,8.8,.477,15.2,28.0,.201,,,
Ball State,32,20,12,.625,-0.82,-3.12,11,7,12,2,6,7,2445,2292,1285,841,1785,.471,240,651,.369,523,759,.689,337,1147,422,176,123,391,525,68.5,111.1,.425,.365,.570,52.1,50.2,8.0,9.8,.538,15.4,31.2,.293,,,
Baylor,32,22,10,.688,17.96,11.06,11,7,14,3,5,5,2469,2248,1285,823,1843,.447,310,834,.372,513,685,.749,373,1097,464,213,76,394,556,67.9,113.3,.372,.453,.569,51.6,56.4,9.8,6.8,.531,15.4,34.7,.278,3,,SOUTH
Bellarmine,33,15,18,.455,-7.32,-1.26,9,9,8,6,6,12,2187,2216,1330,797,1738,.459,264,752,.351,329,436,.755,217,960,467,184,45,368,522,62.8,104.7,.251,.433,.562,48.0,58.6,8.8,5.4,.535,15.9,22.1,.189,,,
Belmont,32,21,11,.656,2.20,-1.61,14,6,12,2,7,7,2447,2299,1290,898,1902,.472,307,791,.388,344,474,.726,267,1055,488,225,101,365,499,69.0,109.9,.249,.416,.575,48.4,54.3,10.1,8.1,.553,14.6,25.2,.181,,,
Bethune-Cookman,33,13,20,.394,-16.56,-7.59,9,10,8,5,4,13,2232,2459,1325,793,1926,.412,227,627,.362,419,602,.696,327,1066,371,236,97,420,575,69.6,96.9,.313,.326,.505,45.9,46.8,10.2,8.0,.471,16.0,27.2,.218,,,
Binghamton,31,13,18,.419,-10.47,-5.54,8,8,8,7,5,11,2133,2217,1260,794,1763,.450,172,533,.323,373,523,.713,301,1086,361,144,98,404,558,67.0,101.0,.297,.302,.530,51.0,45.5,6.8,8.4,.499,16.7,29.0,.212,,,
Boise State,33,24,9,.727,13.34,6.31,13,5,15,1,5,6,2384,2123,1335,852,1873,.455,259,710,.365,421,573,.735,287,1174,370,169,97,370,538,67.0,106.7,.306,.379,.556,52.5,43.4,7.6,8.2,.524,14.7,26.7,.225,10,,WEST
Boston College,33,16,17,.485,1.00,4.64,9,11,9,7,4,7,2197,2317,1330,819,1873,.437,188,590,.319,371,512,.725,308,1093,413,210,118,405,521,66.7,99.0,.273,.315,.519,49.3,50.4,9.5,10.4,.487,16.1,27.5,.198,,,
Boston University,32,15,17,.469,-8.22,-6.64,8,10,9,4,6,11,2147,2151,1300,761,1845,.412,238,722,.330,387,524,.739,328,1136,335,205,79,384,561,66.3,99.7,.284,.391,.513,51.3,44.0,9.5,7.5,.477,15.5,28.6,.210,,,
Bowling Green State,31,11,20,.355,-8.14,-3.48,5,13,7,9,4,11,2355,2434,1240,840,1859,.452,224,658,.340,451,622,.725,326,1109,428,188,93,378,550,71.2,106.7,.335,.354,.547,50.8,51.0,8.5,8.1,.512,14.9,29.6,.243,,,
Bradley,35,25,10,.714,6.85,-0.33,16,4,15,1,8,6,2473,2195,1405,917,1989,.461,276,777,.355,363,546,.665,341,1240,465,238,136,409,565,65.9,106.8,.275,.391,.550,52.8,50.7,10.3,11.8,.530,15.4,29.2,.183,,,
Brigham Young,34,19,15,.559,9.81,5.78,7,9,12,4,2,7,2568,2376,1365,913,2008,.455,276,812,.340,466,650,.717,374,1272,501,251,135,481,659,70.9,106.1,.324,.404,.554,54.0,54.9,10.4,11.4,.523,17.2,31.8,.232,,,
Brown,27,14,13,.519,-2.73,-2.95,7,7,7,5,7,8,1878,1872,1086,682,1557,.438,216,622,.347,298,464,.642,241,942,372,194,87,361,438,69.9,99.1,.298,.399,.528,50.3,54.5,10.2,9.0,.507,16.9,25.3,.191,,,
Bryant,30,17,13,.567,-3.63,-4.56,8,8,9,4,7,8,2381,2193,1205,848,1821,.466,243,714,.340,442,602,.734,318,1179,403,200,106,402,518,73.0,108.3,.331,.392,.565,53.6,47.5,9.1,9.4,.532,16.0,30.1,.243,,,
Bucknell,32,12,20,.375,-9.97,-7.00,5,13,7,7,3,13,2161,2192,1290,797,1749,.456,235,660,.356,332,463,.717,260,1084,429,176,121,427,498,66.4,100.9,.265,.377,.549,51.5,53.8,8.2,10.3,.523,17.8,25.8,.190,,,
Buffalo,32,15,17,.469,-2.73,0.91,9,9,11,4,3,9,2481,2485,1285,906,2000,.453,224,696,.322,445,632,.704,377,1208,470,254,102,452,602,74.2,104.1,.316,.348,.539,51.8,51.9,10.7,8.2,.509,16.4,31.9,.223,,,
Butler,32,14,18,.438,5.77,8.45,6,14,10,6,3,10,2088,2174,1280,771,1767,.436,207,633,.327,339,459,.739,207,958,403,216,138,378,429,67.2,97.1,.260,.358,.526,45.2,52.3,10.0,11.0,.495,16.0,19.9,.192,,,
Cal Poly,33,8,25,.242,-7.17,-0.20,1,18,6,11,1,13,2006,2174,1330,715,1733,.413,181,615,.294,395,531,.744,281,1080,341,181,82,457,653,65.1,92.7,.306,.355,.505,50.3,47.7,8.4,7.6,.465,18.7,25.8,.228,,,
Cal State Bakersfield,33,11,22,.333,-8.06,-1.19,6,14,6,8,3,12,1995,2134,1340,732,1770,.414,142,437,.325,389,512,.760,311,1055,355,205,100,424,621,63.4,93.9,.289,.247,.495,49.7,48.5,9.6,10.6,.454,17.4,28.6,.220,,,
Cal State Fullerton,33,20,13,.606,2.05,0.05,12,6,11,2,7,8,2283,2148,1360,779,1812,.430,253,686,.369,472,681,.693,303,1108,340,214,85,391,590,65.5,102.5,.376,.379,.535,49.0,43.6,9.6,7.7,.500,15.5,26.9,.260,,,
Cal State Northridge,32,7,25,.219,-10.08,-1.41,4,16,7,8,0,14,2028,2194,1285,695,1735,.401,184,575,.320,454,612,.742,313,1066,314,201,99,400,605,65.7,96.1,.353,.331,.501,48.6,45.2,9.5,9.2,.454,16.5,28.0,.262,,,
California,32,3,29,.094,-2.90,8.88,2,18,3,14,0,12,1866,2243,1290,662,1694,.391,156,524,.298,386,534,.723,278,1007,308,151,100,417,548,64.3,90.0,.315,.309,.479,47.0,46.5,7.3,9.1,.437,17.6,25.3,.228,,,
California Baptist,33,17,16,.515,0.50,-0.41,7,10,12,5,4,8,2291,2156,1330,811,1898,.427,276,837,.330,393,592,.664,362,1227,471,146,103,379,569,65.9,104.6,.312,.441,.526,52.3,58.1,6.7,8.2,.500,14.8,30.4,.207,,,
Campbell,34,16,18,.471,-5.24,-4.90,8,10,8,6,4,10,2374,2329,1385,830,1777,.467,228,683,.334,486,691,.703,267,1066,416,212,97,404,554,64.6,106.1,.389,.384,.564,49.6,50.1,9.5,9.0,.531,16.1,25.3,.273,,,
Canisius,30,10,20,.333,-6.94,-3.35,8,12,7,7,3,12,2111,2169,1225,763,1809,.422,255,734,.347,328,448,.732,313,1008,431,168,79,357,469,67.5,102.1,.248,.406,.522,48.4,56.5,8.1,6.6,.492,15.0,28.8,.181,,,
Central Arkansas,31,9,22,.290,-13.57,-3.01,4,14,6,8,2,13,2261,2527,1255,818,1987,.412,264,818,.323,361,482,.749,347,1128,384,202,98,413,508,72.7,99.1,.243,.412,.510,48.2,46.9,8.9,8.2,.478,15.7,28.4,.182,,,
Central Connecticut State,32,10,22,.313,-13.95,-9.77,7,9,6,7,4,14,2111,2245,1295,791,1874,.422,219,669,.327,310,437,.709,324,1092,412,179,122,380,451,65.7,99.3,.233,.357,.507,49.5,52.1,8.4,10.6,.481,15.4,28.5,.165,,,
Central Florida,33,19,14,.576,11.83,5.22,8,10,11,6,5,6,2378,2160,1355,829,1918,.432,290,805,.360,430,558,.771,383,1159,463,250,127,439,544,65.9,106.4,.291,.420,.545,51.5,55.9,11.2,11.5,.508,16.7,34.0,.224,,,
Central Michigan,31,10,21,.323,-11.63,-2.28,5,13,6,8,3,12,2038,2263,1245,702,1688,.416,191,637,.300,443,642,.690,343,1096,333,181,118,494,614,69.0,94.9,.380,.377,.511,49.8,47.4,8.4,11.5,.472,19.9,31.2,.262,,,
Charleston Southern,31,10,21,.323,-9.41,-4.44,5,13,6,8,3,12,2251,2305,1245,819,1850,.443,251,731,.343,362,498,.727,360,1091,373,157,81,365,562,67.1,107.8,.269,.395,.539,51.0,45.5,7.5,7.8,.511,14.9,32.6,.196,,,
Charlotte,32,18,14,.563,3.68,-0.29,9,11,11,4,5,8,2135,2008,1305,788,1673,.471,256,680,.376,303,407,.744,213,957,413,171,82,346,447,61.5,106.5,.243,.406,.572,50.2,52.4,8.5,7.9,.548,15.6,22.9,.181,,,
Chattanooga,35,18,17,.514,-2.20,-3.20,7,11,9,7,6,9,2702,2523,1405,924,2042,.452,398,1057,.377,456,639,.714,335,1268,536,200,121,407,552,68.9,111.7,.313,.518,.576,51.7,58.0,8.3,10.0,.550,14.8,28.0,.223,,,
Chicago State,31,11,20,.355,-10.97,-3.19,,,8,0,3,20,2180,2264,1245,760,1757,.433,256,755,.339,404,555,.728,365,1090,379,175,83,422,561,66.8,104.9,.316,.430,.539,51.2,49.9,8.4,7.5,.505,17.3,34.2,.230,,,
Cincinnati,34,22,12,.647,12.23,5.26,11,7,16,3,4,6,2629,2356,1370,965,2145,.450,304,855,.356,395,562,.703,374,1259,533,212,136,361,534,69.8,110.0,.262,.399,.545,51.7,55.2,8.9,9.8,.521,13.0,30.6,.184,,,
Clemson,34,23,11,.676,10.49,3.66,14,6,15,2,5,6,2540,2308,1370,899,1923,.467,282,775,.364,460,586,.785,252,1196,485,175,107,376,589,68.1,109.0,.305,.403,.577,51.5,53.9,7.5,9.2,.541,14.6,23.4,.239,,,
Cleveland State,34,21,13,.618,-1.90,-4.93,14,6,13,3,7,9,2437,2314,1380,928,2040,.455,174,562,.310,407,599,.679,428,1213,456,237,114,396,568,66.4,106.4,.294,.275,.524,50.4,49.1,10.3,9.5,.498,14.6,35.4,.200,,,
Coastal Carolina,31,11,20,.355,-8.81,-1.63,5,13,8,8,3,11,2273,2294,1250,816,1880,.434,223,705,.316,418,533,.784,349,1153,383,188,99,379,497,69.1,105.3,.284,.375,.533,51.2,46.9,8.7,9.6,.493,15.1,31.6,.222,,,
Colgate,34,26,8,.765,2.20,-6.71,17,1,14,2,11,4,2672,2345,1360,1017,1980,.514,283,694,.408,355,540,.657,270,1155,631,237,97,346,427,68.3,115.1,.273,.351,.597,51.9,62.0,10.2,7.6,.585,13.4,25.4,.179,15,,MIDWEST
