School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,SEED,POSTSEASON,REGION,YEAR
Abilene Christian,31,11,20,0.355,-19.6,-4.12,2,12,9,5,0,14,2214.0,2228.0,1255.0,759.0,1640.0,0.463,181.0,524.0,0.345,529.0,747.0,0.708,305.0,1004.0,407.0,205.0,128.0,431.0,576.0,67.7,104.9,0.455,0.32,0.558,49.8,53.6,9.7,12.0,0.518,17.8,30.2,0.323,,,,2014
UAB,31,18,13,0.581,0.78,-0.77,7,9,12,5,5,5,2266.0,2180.0,1255.0,796.0,1927.0,0.413,200.0,638.0,0.313,388.0,581.0,0.668,370.0,1129.0,399.0,215.0,127.0,345.0,617.0,69.4,100.0,0.302,0.331,0.495,45.0,50.1,9.9,9.1,0.465,13.5,29.8,0.201,,,,2014
Alabama,32,13,19,0.406,8.34,8.88,7,11,13,4,0,11,2170.0,2150.0,1295.0,727.0,1736.0,0.419,177.0,575.0,0.308,519.0,698.0,0.744,384.0,1117.0,381.0,179.0,129.0,410.0,611.0,64.4,103.1,0.402,0.331,0.52,51.5,52.4,8.6,11.5,0.47,16.5,34.5,0.299,,,,2014
Albany (NY),34,19,15,0.559,-3.31,-5.22,9,7,10,3,7,11,2239.0,2174.0,1375.0,775.0,1848.0,0.419,236.0,676.0,0.349,388.0,537.0,0.723,329.0,1062.0,419.0,197.0,103.0,397.0,646.0,63.0,100.3,0.291,0.366,0.517,47.5,54.1,9.1,8.0,0.483,15.9,28.3,0.21,16.0,R64,SOUTH,2014
American,33,20,13,0.606,0.69,-3.25,13,5,11,3,9,9,2081.0,1951.0,1325.0,671.0,1621.0,0.414,161.0,505.0,0.319,448.0,660.0,0.679,319.0,962.0,336.0,234.0,79.0,396.0,579.0,60.7,97.0,0.407,0.312,0.504,49.4,50.1,11.6,8.1,0.464,17.0,29.7,0.276,15.0,R64,WEST,2014
Appalachian State,30,9,21,0.3,-15.32,-7.13,5,11,7,7,2,13,2034.0,2152.0,1210.0,763.0,1644.0,0.464,179.0,486.0,0.368,447.0,670.0,0.667,303.0,1064.0,388.0,170.0,130.0,386.0,601.0,67.4,105.6,0.408,0.296,0.548,49.4,50.9,8.3,10.6,0.519,16.4,30.2,0.272,,,,2014
Arizona State,33,21,12,0.636,13.32,7.41,10,8,16,1,4,7,2486.0,2291.0,1345.0,821.0,1961.0,0.419,175.0,536.0,0.326,474.0,732.0,0.648,385.0,1251.0,387.0,184.0,135.0,394.0,658.0,69.0,98.8,0.373,0.273,0.496,51.6,47.1,7.9,11.6,0.463,14.6,30.2,0.242,10.0,R64,MIDWEST,2014
Arizona,38,33,5,0.868,23.36,9.04,15,3,18,0,8,3,2769.0,2225.0,1540.0,776.0,2041.0,0.38,173.0,541.0,0.32,500.0,698.0,0.716,369.0,1181.0,347.0,178.0,118.0,471.0,699.0,64.1,90.2,0.342,0.265,0.469,44.9,44.7,7.2,7.6,0.423,16.6,27.3,0.245,1.0,E8,WEST,2014
Little Rock,32,15,17,0.469,-5.39,-1.09,9,9,7,6,6,9,2288.0,2371.0,1320.0,759.0,1775.0,0.428,251.0,717.0,0.35,602.0,869.0,0.693,347.0,1136.0,435.0,215.0,119.0,419.0,636.0,68.4,105.1,0.49,0.404,0.542,49.2,57.3,9.5,8.9,0.498,16.1,30.1,0.339,,,,2014
Arkansas,34,22,12,0.647,14.34,5.57,10,8,17,2,3,7,2723.0,2425.0,1376.0,809.0,1983.0,0.408,213.0,615.0,0.346,594.0,852.0,0.697,473.0,1340.0,391.0,185.0,105.0,579.0,688.0,72.5,97.2,0.43,0.31,0.508,52.3,48.3,7.4,7.5,0.462,19.5,36.6,0.3,,,,2014
