School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,TP,OP,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,29,24,5,.828,6.27,-6.37,13,2,13,0,5,4,2196,1753,1160,786,1752,.449,221,643,.344,403,594,.678,329,1047,513,282,86,394,554,72.0,105.2,.339,.367,.540,51.5,65.3,13.5,8.9,.512,16.2,31.3,.230
Air Force,25,5,20,.200,-12.98,0.22,3,17,3,8,1,10,1468,1798,1000,522,1170,.446,174,527,.330,250,361,.693,110,580,308,177,62,361,415,63.9,91.9,.309,.450,.547,40.1,59.0,11.1,8.0,.521,21.2,15.3,.214
Akron,23,15,8,.652,1.85,-1.96,12,6,9,1,5,5,1798,1660,930,628,1415,.444,217,652,.333,325,429,.758,262,895,305,113,84,271,413,70.1,110.2,.303,.461,.555,51.7,48.6,6.9,8.9,.520,14.3,31.0,.230
Alabama,33,26,7,.788,19.58,10.01,16,2,12,1,7,3,2629,2313,1325,924,2125,.435,348,989,.352,433,612,.708,408,1343,464,280,143,458,603,74.7,106.3,.288,.465,.544,51.7,50.2,11.3,10.6,.517,15.9,31.8,.204
Alabama A&M,15,6,9,.400,-18.86,-14.99,4,9,5,2,1,7,950,1008,610,347,868,.400,83,286,.290,173,276,.627,160,577,164,82,54,229,272,70.1,88.9,.318,.329,.475,49.8,47.3,7.7,9.1,.448,18.6,28.1,.199
Alabama State,18,4,14,.222,-24.28,-16.95,4,14,3,6,1,8,1156,1288,720,383,1009,.380,111,350,.317,279,431,.647,205,653,175,110,43,291,343,72.4,88.8,.427,.347,.476,49.1,45.7,8.4,6.1,.435,19.3,29.5,.277
Albany (NY),16,7,9,.438,-4.53,-5.22,6,6,4,5,2,4,1110,1099,640,395,883,.447,102,303,.337,218,301,.724,110,480,187,98,29,201,285,69.7,99.6,.341,.343,.541,47.9,47.3,8.8,5.1,.505,16.4,22.3,.247
Alcorn State,19,6,13,.316,-19.58,-10.06,6,7,4,3,2,9,1256,1437,760,435,1107,.393,113,376,.301,273,376,.726,206,608,177,144,30,276,394,71.3,92.8,.340,.340,.488,47.8,40.7,10.6,5.0,.444,17.7,29.7,.247
American,10,4,6,.400,-6.32,-1.82,4,5,2,2,2,4,691,736,420,248,557,.445,90,238,.378,105,149,.705,78,326,128,73,47,158,193,67.5,97.5,.268,.427,.550,48.2,51.6,10.3,11.4,.526,20.1,24.1,.189
Appalachian State,29,17,12,.586,-5.84,-5.72,7,8,9,4,4,7,2039,1860,1185,690,1688,.409,233,737,.316,426,574,.742,319,1053,344,230,107,343,394,66.8,103.1,.340,.437,.520,50.8,49.9,11.6,10.4,.478,14.9,29.8,.252
Arizona,26,17,9,.654,15.02,8.18,11,9,12,4,5,5,1961,1783,1050,667,1492,.447,174,468,.372,453,623,.727,305,997,403,152,104,309,463,68.4,109.2,.418,.314,.548,55.1,60.4,8.5,11.2,.505,14.7,34.0,.304
Arizona State,25,11,14,.440,7.48,10.24,7,10,7,6,2,6,1858,1927,1010,656,1515,.433,179,537,.333,367,504,.728,196,797,327,182,82,274,478,72.6,101.4,.333,.354,.530,44.6,49.8,9.9,8.8,.492,13.5,21.1,.242
Arkansas,32,25,7,.781,17.80,7.18,13,4,16,1,5,4,2604,2264,1285,935,2071,.451,233,702,.332,501,677,.740,378,1271,466,251,158,412,540,75.1,108.0,.327,.339,.544,52.6,49.8,10.4,13.0,.508,14.7,31.3,.242
Arkansas State,24,11,13,.458,-7.97,-5.87,7,8,9,3,1,9,1741,1667,965,621,1390,.447,154,402,.383,345,478,.722,265,892,347,158,68,313,385,69.3,104.1,.344,.289,.538,52.5,55.9,9.4,7.1,.502,16.2,31.9,.248
Arkansas-Pine Bluff,25,4,21,.160,-22.67,-7.79,3,12,2,3,2,17,1549,1921,1010,524,1356,.386,123,400,.308,378,523,.723,240,807,240,160,95,394,455,69.5,88.2,.386,.295,.483,46.7,45.8,9.1,9.9,.432,19.7,26.7,.279
Army,22,12,10,.545,0.06,0.63,7,7,5,5,5,3,1578,1529,885,587,1286,.456,172,527,.326,232,364,.637,178,761,316,138,32,275,342,70.0,101.9,.283,.410,.541,49.5,53.8,8.9,4.2,.523,15.9,23.2,.180
Auburn,27,13,14,.481,10.02,9.28,7,11,8,5,3,8,2084,2064,1090,711,1628,.437,245,751,.326,417,589,.708,348,1063,400,168,163,438,482,73.4,104.1,.362,.461,.546,52.0,56.3,8.4,14.8,.512,18.7,34.8,.256
Austin Peay,27,14,13,.519,-6.66,-8.22,10,10,8,5,4,6,2007,1890,1090,733,1617,.453,194,573,.339,347,462,.751,341,931,357,183,54,397,472,69.0,106.6,.286,.354,.546,52.1,48.7,9.7,5.9,.513,17.8,36.0,.215
Ball State,23,10,13,.435,-1.96,-1.22,8,9,7,4,3,8,1719,1736,930,613,1384,.443,195,570,.342,298,397,.751,229,848,318,126,55,330,441,72.0,102.7,.287,.412,.547,49.4,51.9,7.5,6.2,.513,17.3,27.8,.215
Baylor,30,28,2,.933,24.83,7.40,13,1,11,0,7,1,2487,1964,1205,917,1886,.486,299,724,.413,354,500,.708,374,1079,507,267,111,345,513,69.6,118.7,.265,.384,.586,53.2,55.3,12.7,10.3,.565,14.0,36.4,.188
Bellarmine,22,14,8,.636,-1.76,-5.56,10,3,6,4,7,2,1634,1456,880,615,1211,.508,143,381,.375,261,345,.757,171,667,342,160,50,245,342,65.8,112.9,.285,.315,.594,50.8,55.6,11.1,8.3,.567,15.1,26.8,.216
Belmont,30,26,4,.867,3.46,-8.71,18,2,11,1,10,2,2439,2074,1205,894,1829,.489,271,787,.344,380,515,.738,264,1072,547,232,87,361,438,71.9,112.7,.282,.430,.588,50.4,61.2,10.7,7.5,.563,14.8,26.1,.208
Binghamton,18,4,14,.222,-12.24,-5.35,4,10,1,9,3,5,1178,1302,735,430,1039,.414,156,472,.331,162,241,.672,191,642,199,90,55,250,307,66.2,96.9,.232,.454,.511,50.2,46.3,7.4,8.3,.489,17.8,29.1,.156
Boise State,28,19,9,.679,9.75,1.71,14,6,11,1,6,6,2122,1868,1125,743,1634,.455,220,635,.346,416,566,.735,253,995,378,183,80,328,478,70.2,107.4,.346,.389,.558,52.1,50.9,9.3,7.7,.522,14.7,26.8,.255
Boston College,20,4,16,.200,0.82,8.97,2,11,3,5,0,7,1427,1590,805,500,1185,.422,180,546,.330,247,352,.702,183,665,230,144,77,274,324,71.8,98.7,.297,.461,.528,47.2,46.0,10.0,10.0,.498,16.8,25.0,.208
Boston University,18,7,11,.389,-3.71,0.84,6,10,2,6,5,5,1249,1331,720,451,1035,.436,125,393,.318,222,296,.750,181,636,190,97,56,225,305,67.9,102.2,.286,.380,.531,51.2,42.1,7.9,8.2,.496,16.1,28.8,.214
Bowling Green State,26,14,12,.538,-0.17,-2.37,10,8,4,7,10,3,2015,1939,1050,724,1732,.418,213,667,.319,354,481,.736,325,996,328,184,57,256,442,71.9,106.8,.278,.385,.514,49.4,45.3,9.8,5.9,.480,11.5,30.5,.204
Bradley,28,12,16,.429,0.32,1.17,6,12,8,6,2,9,1948,1864,1130,736,1636,.450,192,603,.318,284,393,.723,284,1033,382,144,100,346,455,66.4,103.9,.240,.369,.534,52.3,51.9,7.7,11.3,.509,16.0,29.3,.174
Brigham Young,27,20,7,.741,15.19,7.23,10,3,11,2,7,2,2109,1853,1095,776,1608,.483,236,633,.373,321,443,.725,255,1058,436,124,76,356,486,70.2,109.8,.275,.394,.580,54.7,56.2,6.5,7.2,.556,16.4,28.6,.200
Brown,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant,22,15,7,.682,-1.37,-7.27,10,4,10,1,5,5,1843,1664,880,638,1372,.465,208,546,.381,359,472,.761,224,876,336,152,78,333,365,77.2,108.5,.344,.398,.577,50.8,52.7,8.9,8.6,.541,17.3,28.2,.262
Bucknell,12,5,7,.417,-7.78,-5.36,4,6,2,3,3,4,899,928,480,311,683,.455,88,267,.330,189,248,.762,78,402,144,70,42,152,209,73.1,102.5,.363,.391,.561,47.6,46.3,8.0,8.1,.520,16.0,19.8,.277
Buffalo,25,16,9,.640,6.50,-1.58,12,5,8,3,5,3,2034,1823,1010,766,1662,.461,175,518,.338,327,487,.671,370,1094,397,199,103,347,442,74.2,108.6,.293,.312,.537,55.1,51.8,10.6,9.6,.514,15.5,37.2,.197
Butler,25,10,15,.400,4.76,9.92,8,12,8,4,1,9,1588,1717,1015,572,1393,.411,179,554,.323,265,410,.646,230,807,308,139,51,286,406,65.1,96.1,.294,.398,.500,48.8,53.8,8.4,6.0,.475,15.3,26.0,.190
Cal Poly,24,4,20,.167,-13.69,-1.56,1,15,3,8,0,11,1475,1700,965,519,1315,.395,157,491,.320,280,388,.722,187,778,298,149,84,333,447,68.5,89.3,.295,.373,.492,46.4,57.4,9.0,9.3,.454,18.2,22.1,.213
Cal State Bakersfield,26,15,11,.577,-0.13,-2.38,11,7,9,2,6,8,1811,1665,1045,684,1531,.447,146,414,.353,297,416,.714,348,959,365,167,78,338,499,65.7,105.6,.272,.270,.524,56.2,53.4,9.7,10.1,.494,16.4,39.3,.194
Cal State Fullerton,16,6,10,.375,-6.32,-3.05,5,9,5,4,1,5,1232,1257,645,430,951,.452,131,341,.384,241,326,.739,140,526,218,107,32,205,271,72.7,105.1,.343,.359,.557,47.6,50.7,9.1,5.0,.521,15.6,25.0,.253
Cal State Northridge,22,9,13,.409,-8.69,-1.97,5,9,4,7,4,4,1586,1709,885,560,1323,.423,170,503,.338,296,407,.727,208,730,293,140,47,261,383,70.9,101.1,.308,.380,.523,47.0,52.3,8.9,6.1,.488,14.7,25.3,.224
California,29,9,20,.310,4.89,9.75,3,17,6,8,1,11,1897,2008,1160,661,1536,.430,204,622,.328,371,532,.697,235,917,346,126,65,370,516,66.3,98.7,.346,.405,.530,49.4,52.3,6.6,6.2,.497,17.1,24.6,.242
